Mfg.,Part No.,Desc.,Units,Length,Outer Dia,L/D Ratio,Insert Length,Insert OD,Thickness,Shape,Config,Material,CG Loc,Mass Units,Mass,Base Ext. Len
BalsaMachining.com,BMS20V2C,V2 Nose Cone w/bored hole,In.,2.25,0.73,0,0.50,0.71,0.00,Ogive,Solid,Balsa,0,oz,0,0.00
BalsaMachining.com,BMS60V2C,V2 cone with 4 inch deep bored hole,In.,5.25,1.63,0,0.75,1.59,0.00,Ogive,Solid,Balsa,0,oz,0,0.00
BalsaMachining.com,BNC20L,Estes CYL-Ogive,In.,1.40,0.73,0,0.50,0.71,0.00,Ogive,Solid,Balsa,0,oz,0,0.50
BalsaMachining.com,BNC20N,Estes Classic,In.,2.70,0.73,0,0.50,0.71,0.00,Ogive,Solid,Balsa,0,oz,0,1.00
BalsaMachining.com,BNC20R,Estes Classic,In.,2.75,0.73,0,0.50,0.71,0.00,Conical,Solid,Balsa,0,oz,0,0.00
BalsaMachining.com,BNC20Y,Estes Classic,In.,1.05,0.73,0,0.50,0.71,0.00,Conical,Solid,Balsa,0,oz,0,0.00
BalsaMachining.com,BNC30E,Estes-CYL-Ogive,In.,2.19,0.76,0,0.50,0.72,0.00,Ogive,Solid,Balsa,0,oz,0,0.30
BalsaMachining.com,BNC30N,BT30 Ogive,In.,2.75,0.76,0,0.50,0.72,0.00,Ogive,Solid,Balsa,0,oz,0,0.00
BalsaMachining.com,BNC55F,V2 nose cone,In.,4.20,1.32,0,0.70,1.28,0.00,Ogive,Solid,Balsa,0,oz,0,0.00
BalsaMachining.com,BNC55O61,BT55 6:1 Ogive,In.,6.00,1.32,0,0.75,1.28,0.00,Ogive,Solid,Balsa,0,oz,0,0.00
BalsaMachining.com,BNC5AW,Estes Classic,In.,2.25,0.54,0,0.50,0.51,0.00,Ogive,Solid,Balsa,0,oz,0,0.00
BalsaMachining.com,BNC5AX,Estes-Ogive,In.,2.17,0.54,0,0.50,0.51,0.00,Ogive,Solid,Balsa,0,oz,0,0.00
BalsaMachining.com,BNC5E,Estes Classic,In.,1.38,0.54,0,0.50,0.51,0.00,Ogive,Solid,Balsa,0,oz,0,0.00
BalsaMachining.com,BNC5O51,BT5 5:1 Ogive,In.,2.72,0.54,0,0.40,0.51,0.00,Ogive,Solid,Balsa,0,oz,0,0.00
BalsaMachining.com,BNC5S,Estes Classic,In.,1.50,0.54,0,0.50,0.51,0.00,Ogive,Solid,Balsa,0,oz,0,0.00
BalsaMachining.com,BNC5W,Estes Classic,In.,2.80,0.54,0,0.50,0.51,0.00,Ogive,Solid,Balsa,0,oz,0,0.00
BalsaMachining.com,BOMARC,Estes Citation BOMARC (bored hole),In.,4.15,1.32,0,0.90,1.28,0.00,Ogive,Solid,Balsa,0,oz,0,0.00
BalsaMachining.com,CENBC107,Centuri Ogive,In.,5.25,1.04,0,0.50,1.00,0.00,Ogive,Solid,Balsa,0,oz,0,0.00
BalsaMachining.com,CENBC79,Centuri Conical,In.,2.60,0.79,0,0.50,0.72,0.00,Ogive,Solid,Balsa,0,oz,0,0.00
BalsaMachining.com,CENBC89,Centuri Ogive,In.,5.50,0.90,0,0.75,0.85,0.00,Ogive,Solid,Balsa,0,oz,0,0.00
BalsaMachining.com,CENV2NC,Centuri V2 nose cone w/ bored hole,In.,5.50,1.67,0,0.75,1.59,0.00,Ogive,Solid,Balsa,0,oz,0,0.00
