Material Name,Units,Density,Low,High,Class,Rocketry Use,Body Tubes,Fin Sets,Launch Lugs,Cords,Nose,Chute,Stream,Trans,Ring,Bulkhead,Engine Block,Sleeve,Tube Coupler,spare,spare,spare,spare,spare,spare,spare,Known Dim type,Known Dim Units,Known Dim Value
,kg/m3,0,0,0,unknown,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"G10 (PML 0.062"")",kg/m3,1309.,1309.,1309.,unknown,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.060 Carbon Fiber,kg/m3,1400,1400,1400,Carbon Fiber,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
.125 in Fiberglass/Honeycomb,lb/ft3,28.8,28.8,28.8,unknown,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
.25 in Fiberglass/Honeycomb,lb/ft3,14.7,14.7,14.7,unknown,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1 in. Flat Elastic,oz/in,0.0139,0.0139,0.0139,Rubber,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 in. Tubular Nylon,oz/in,0.04,0.04,0.04,Nylon,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1 Ounce Rip Stop Nylon,lb/ft3,0.0037351,0.0037351,0.0037351,Nylon,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1 oz. Rip Stop Nylon,oz/in2,0.00085,0.00085,0.00085,Nylon,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3 oz. Ripstop Nylon (SkyAngle),oz/in2,0.001003,0.001003,0.001003,Nylon,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7 oz. Ripstop Nylon ,oz/in2,0.0013117,0.0013117,0.0013117,Nylon,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.9 oz. Ripstop Nylon (SkyAngle),oz/in2,0.001466,0.001466,0.001466,Nylon,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.9 oz. Ripstop Nylon (PML),oz/in2,0.002,0.002,0.002,Nylon,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.9 oz. Ripstop Nylon ,oz/in2,0.001466,0.001466,0.001466,Nylon,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/16 in. Aircraft Plywood,kg/m3,361.3765253,361.3765253,361.3765253,Wood,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/16 in. Braided Nylon,g/cm,0.0102,0.0102,0.0102,Nylon,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/16 in. Round Elastic,g/cm,0.0183,0.0183,0.0183,Rubber,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2 in. Flat Elastic,oz/in,0.0028,0.0028,0.0028,Rubber,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2 in. Tubular Kevlar,oz/in,0.04,0.04,0.04,Kevlar,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
