Mfg.,Part No.,Desc.,Units,ID,OD,Length,Material,CG,Mass Units,Mass,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize
Estes,JT-5C,Tube Coupler/.51 x .75in,in,0.45,0.51,0.75,Paper,0.375,oz,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estes,JT-20C,Tube Coupler/.71 x .75in,in,0.645,0.705,0.75,Paper,0.375,oz,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estes,JT-50C,Tube Coupler/.95 x 1in,in,0.885,0.945,1,Paper,0.5,oz,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estes,JT-55C,Tube Coupler/1.28 x 1.25in,in,1.216,1.276,1.25,Paper,0.638,oz,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estes,JT-60C,Tube Coupler/1.59 x 1.5in,in,1.53,1.59,1.5,Paper,0.75,oz,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estes,JT-70A,Tube Coupler/2.17 x 2in,in,2.09,2.17,2,Paper,1,oz,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estes,JT-80C,Tube Coupler/2.55 x 3in,in,2.47,2.55,3,Paper,1.5,oz,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estes,JT-101SV,Tube Coupler/3.9 x 1.375in,in,3.81,3.89,1.375,Paper,0.6875,oz,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estes,NB-20,Balsa Tube Coupler/.71 x .75in,in,0,0.705,0.75,Balsa,0.375,oz,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estes,NB-50,Balsa Tube Coupler/.95 x 1in,in,0,0.945,1,Balsa,0.5,oz,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
