Mfg.,Part No.,Desc.,Units,ID,OD,Length,Material,Engine,Engine,Engine,Engine,Engine,Engine,Engine,Engine,Engine,Engine,Engine
Giant Leap,CR-2.56/29,CR 2.56/29mm,mm,29.,65.024000000000001,3.81,Birch,0.,,,,,,,,,,
Giant Leap,CR-2.56/38,CR 2.56/38mm,mm,38.,65.024000000000001,3.81,Birch,0.,,,,,,,,,,
Giant Leap,CR-2.56/54,CR 2.56/54mm,mm,54.,65.024000000000001,3.81,Birch,0.,,,,,,,,,,
Giant Leap,CR-3.00/29,CR 3.00/29mm,mm,29.,76.250999999999991,5.08,Birch,0.,,,,,,,,,,
Giant Leap,CR-3.00/38,CR 3.00/38mm,mm,38.,76.250799999999998,5.08,Birch,0.,,,,,,,,,,
Giant Leap,CR-3.00/54,CR 3.00/54mm,mm,54.,76.250999999999991,5.08,Birch,0.,,,,,,,,,,
Giant Leap,CR-3.90/29,CR 3.90/29mm,mm,29.,99.060000000000002,5.08,Birch,0.,,,,,,,,,,
Giant Leap,CR-3.90/38,CR 3.90/38mm,mm,38.,99.060000000000002,5.08,Birch,0.,,,,,,,,,,
Giant Leap,CR-3.90/54,CR 3.90/54mm,mm,54.,99.060000000000002,5.08,Birch,0.,,,,,,,,,,
Giant Leap,CR-3.90/76,CR 3.90/76mm,mm,76.,99.060000000000002,5.08,Birch,0.,,,,,,,,,,
Giant Leap,CR-38/29,CR 38/29mm,mm,29.,38.,12.699999999999999,Cardboard,0.,,,,,,,,,,
Giant Leap,CR-54/38,CR 54/38mm,mm,38.,54.,17.779999999999998,Cardboard,0.,,,,,,,,,,
Giant Leap,CR-6.00/38,CR 6.00/38mm,mm,38.,152.40000000000001,12.699999999999999,Birch,0.,,,,,,,,,,
Giant Leap,CR-6.00/54,CR 6.00/54mm,mm,54.,152.40000000000001,12.699999999999999,Birch,0.,,,,,,,,,,
Giant Leap,CR-6.00/76,CR 6.00/76mm,mm,76.,152.40000000000001,12.699999999999999,Birch,0.,,,,,,,,,,
Giant Leap,CR-6.00/98,CR 6.00/98mm,mm,98.,152.40000000000001,12.699999999999999,Birch,0.,,,,,,,,,,
Giant Leap,CR-7.50/54,CR 7.50/54mm,mm,54.,190.5,12.699999999999999,Birch,0.,,,,,,,,,,
Giant Leap,CR-7.50/76,CR 7.50/76mm,mm,76.,190.5,12.699999999999999,Birch,0.,,,,,,,,,,
Giant Leap,CR-7.50/98,CR 7.50/98mm,mm,98.,190.5,12.699999999999999,Birch,0.,,,,,,,,,,
Giant Leap,CR-2.56-54,CR 2.56-54mm,mm,54.,59.689999999999998,6.35,Birch,0.,,,,,,,,,,
