Mfg.,Part No.,Desc.,Units,ID,OD,Length,Material,Mass Units,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass
Giant Leap,C-2.15,2.15 CT,mm,51.308,54.609999999999999,101.59999999999999,Kraft phenolic,0.,g,0.,0,,,,,,,
Giant Leap,C-2.15-L,2.15 CT,mm,51.561999999999998,54.609999999999999,927.09999999999991,Kraft phenolic,0.,g,0.,0,,,,,,,
Giant Leap,C-2.56,2.56 CT,mm,62.738,65.024000000000001,127.,Kraft phenolic,0.,g,0.,0,,,,,,,
Giant Leap,C-2.56-L,2.56 CT,mm,62.738,65.024000000000001,927.09999999999991,Kraft phenolic,0.,g,0.,0,,,,,,,
Giant Leap,C-3.00,3.0 CT,mm,73.659999999999997,76.200000000000003,127.,Kraft phenolic,0.,g,0.,0,,,,,,,
Giant Leap,C-3.00-L,3.0 CT,mm,73.659999999999997,76.200000000000003,927.09999999999991,Kraft phenolic,0.,g,0.,0,,,,,,,
Giant Leap,C-3.90,3.9 CT,mm,96.265999999999991,99.060000000000002,177.79999999999998,Kraft phenolic,0.,g,0.,0,,,,,,,
Giant Leap,C-3.90-L,3.9 CT,mm,96.265999999999991,99.060000000000002,927.09999999999991,Kraft phenolic,0.,g,0.,0,,,,,,,
Giant Leap,C-6.007-L,6.0 CT,mm,148.59,152.5778,1219.2,Kraft phenolic,0.,g,0.,0,,,,,,,
Giant Leap,C-7.512-L,7.5 CT,mm,186.18199999999999,190.8048,1219.2,Kraft phenolic,0.,g,0.,0,,,,,,,
