Mfg.,Part No.,Desc.,Units,ID,OD,Length,Material,Engine,Mass Units,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass
Performance Rocketry,Std G10 Fiberglass Airframe,29mm Airframe/48in,in,1.145,1.27,48,G10 Fiberglass,,g,0,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Std G10 Fiberglass Airframe,38mm Airframe/48in,in,1.52,1.645,48,G10 Fiberglass,,g,0,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Std G10 Fiberglass Airframe,54mm Airframe/54in,in,2.152,2.277,54,G10 Fiberglass,,g,0,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Std G10 Fiberglass Airframe,2.5 in Airframe/54in,in,2.56,2.625,54,G10 Fiberglass,,g,0,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Std G10 Fiberglass Airframe,3 in Airframe/54in,in,3,3.125,54,G10 Fiberglass,,g,0,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Std G10 Fiberglass Airframe,3.5 in Airframe/54in,in,3.4,3.525,54,G10 Fiberglass,,g,0,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Std G10 Fiberglass Airframe,4 in Airframe/54in,in,3.9,4,54,G10 Fiberglass,,g,0,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Std G10 Fiberglass Airframe,4 in Airframe Thick/54in,in,3.9,4.15,54,G10 Fiberglass,,g,0,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Std G10 Fiberglass Airframe,4.1 in Airframe/54in,in,4,4.125,54,G10 Fiberglass,,g,0,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Std G10 Fiberglass Airframe,4.5 in Airframe/54in,in,4.375,4.5,54,G10 Fiberglass,,g,0,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Std G10 Fiberglass Airframe,5 in Airframe/54in,in,5,5.15,54,G10 Fiberglass,,g,0,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Std G10 Fiberglass Airframe,5.5 in Airframe/54in,in,5.375,5.525,54,G10 Fiberglass,,g,0,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Std G10 Fiberglass Airframe,6 in Airframe/54in,in,6.04,6.21,54,G10 Fiberglass,,g,0,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Std G10 Fiberglass Airframe,7 in Airframe/48in,in,6.81,7,48,G10 Fiberglass,,g,0,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Std G10 Fiberglass Airframe,7.5 in Airframe/54in,in,7.518,7.708,54,G10 Fiberglass,,g,0,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Std G10 Fiberglass Airframe,8 in Airframe/54in,in,7.815,8.005,54,G10 Fiberglass,,g,0,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Std G10 Fiberglass Airframe,8.25 in Airframe/54in,in,8,8.25,54,G10 Fiberglass,,g,0,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Std G10 Fiberglass Airframe,9 in Airframe/48in,in,9,9.25,48,G10 Fiberglass,,g,0,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Std G10 Fiberglass Airframe,11.5 in Airframe/54in,in,11.42,11.67,54,G10 Fiberglass,,g,0,,,,,,,,,,,,,,,,,,,
Performance Rocketry,G12 Fiberglass FW Airframe,24mm Airframe/60in,in,0.945,1.045,48,G12 Fiberglass ,,g,0,,,,,,,,,,,,,,,,,,,
