Mfg.,Part No.,Desc.,Units,ID,OD,Length,Material,AutoSize,,,
Performance Rocketry,G10 Centering Ring,Fiberglass Center Ring 38mmx29mmx.094,in,1.255,1.52,0.094,G10 Fiberglass,0,g,0,0
Performance Rocketry,G10 Centering Ring,Fiberglass Center Ring 54mmx29mmx.094,in,1.255,2.152,0.094,G10 Fiberglass,0,g,0,0
Performance Rocketry,G10 Centering Ring,Fiberglass Center Ring 54mmx38mmx.094,in,1.645,2.152,0.094,G10 Fiberglass,0,g,0,0
Performance Rocketry,G10 Centering Ring,Fiberglass Center Ring 3inx38mmx.094,in,1.645,3,0.094,G10 Fiberglass,0,g,0,0
Performance Rocketry,G10 Centering Ring,Fiberglass Center Ring 3inx54mmx.094,in,2.277,3,0.094,G10 Fiberglass,0,g,0,0
Performance Rocketry,G10 Centering Ring,Fiberglass Center Ring 4inx38mmx.094,in,1.645,3.9,0.094,G10 Fiberglass,0,g,0,0
Performance Rocketry,G10 Centering Ring,Fiberglass Center Ring 4inx54mmx.094,in,2.277,3.9,0.094,G10 Fiberglass,0,g,0,0
Performance Rocketry,G10 Centering Ring,Fiberglass Center Ring 4inx75mmx.094,in,3.125,3.9,0.094,G10 Fiberglass,0,g,0,0
Performance Rocketry,G10 Centering Ring,Fiberglass Center Ring 5inx54mmx.125,in,2.277,5,0.125,G10 Fiberglass,0,g,0,0
Performance Rocketry,G10 Centering Ring,Fiberglass Center Ring 5inx75mmx.125,in,3.125,5,0.125,G10 Fiberglass,0,g,0,0
Performance Rocketry,G10 Centering Ring,Fiberglass Center Ring 5inx98mmx.125,in,4.025,5,0.125,G10 Fiberglass,0,g,0,0
Performance Rocketry,G10 Centering Ring,Fiberglass Center Ring 5.5inx75mmx.125,in,3.125,5.375,0.125,G10 Fiberglass,0,g,0,0
Performance Rocketry,G10 Centering Ring,Fiberglass Center Ring 5.5inx98mmx.125,in,4.025,5.375,0.125,G10 Fiberglass,0,g,0,0
Performance Rocketry,G10 Centering Ring,Fiberglass Center Ring 6inx75mmx.125,in,3.125,6,0.125,G10 Fiberglass,0,g,0,0
Performance Rocketry,G10 Centering Ring,Fiberglass Center Ring 6inx98mmx.125,in,4.025,6,0.125,G10 Fiberglass,0,g,0,0
Performance Rocketry,G10 Centering Ring,Fiberglass Center Ring 7.5inx75mmx.125,in,3.125,7.518,0.125,G10 Fiberglass,0,g,0,0
Performance Rocketry,G10 Centering Ring,Fiberglass Center Ring 7.5inx98mmx.125,in,4.025,7.518,0.125,G10 Fiberglass,0,g,0,0
Performance Rocketry,G10 Centering Ring,Fiberglass Center Ring 8inx75mmx.125,in,3.125,7.815,0.125,G10 Fiberglass,0,g,0,0
Performance Rocketry,G10 Centering Ring,Fiberglass Center Ring 8inx98mmx.125,in,4.025,7.815,0.125,G10 Fiberglass,0,g,0,0
Performance Rocketry,Birch Centering Ring,Birch Centering Ring 54mmx38mmx.0625,in,0.95,2.152,0.0625,Birch,0,g,0,0
Performance Rocketry,Birch Centering Ring,Birch Centering Ring 54mmx29mmx.0625,in,1.27,2.152,0.0625,Birch,0,g,0,0
Performance Rocketry,Birch Centering Ring,Birch Centering Ring 54mmx24mmx.0625,in,1.645,2.152,0.0625,Birch,0,g,0,0
Performance Rocketry,Birch Centering Ring,Birch Centering Ring 2.5inx34mmx.0625,in,0.95,2.5,0.0625,Birch,0,g,0,0
Performance Rocketry,Birch Centering Ring,Birch Centering Ring 2.5inx29mmx.0625,in,1.27,2.5,0.0625,Birch,0,g,0,0
Performance Rocketry,Birch Centering Ring,Birch Centering Ring 2.5inx24mmx.0625,in,1.645,2.5,0.0625,Birch,0,g,0,0
Performance Rocketry,Birch Centering Ring,Birch Centering Ring 3inx24mmx.094,in,0.95,3,0.094,Birch,0,g,0,0
Performance Rocketry,Birch Centering Ring,Birch Centering Ring 3inx38mmx.094,in,1.645,3,0.094,Birch,0,g,0,0
Performance Rocketry,Birch Centering Ring,Birch Centering Ring 3inx54mmx.094,in,2.277,3,0.094,Birch,0,g,0,0
Performance Rocketry,Birch Centering Ring,Birch Centering Ring 4inx24mmx.094,in,0.95,3.9,0.094,Birch,0,g,0,0
Performance Rocketry,Birch Centering Ring,Birch Centering Ring 4inx38mmx.094,in,1.645,3.9,0.094,Birch,0,g,0,0
Performance Rocketry,Birch Centering Ring,Birch Centering Ring 4inx54mmx.094,in,2.277,3.9,0.094,Birch,0,g,0,0
Performance Rocketry,Birch Centering Ring,Birch Centering Ring 4.5inx38mmx.094,in,1.645,4.375,0.094,Birch,0,g,0,0
Performance Rocketry,Birch Centering Ring,Birch Centering Ring 4.5inx54mmx.094,in,2.277,4.375,0.094,Birch,0,g,0,0
Performance Rocketry,Birch Centering Ring,Birch Centering Ring 4.5inx75mmx.094,in,3.125,4.375,0.094,Birch,0,g,0,0
Performance Rocketry,Birch Centering Ring,Birch Centering Ring 5inx54mmx.125,in,2.277,5,0.125,Birch,0,g,0,0
Performance Rocketry,Birch Centering Ring,Birch Centering Ring 5inx75mmx.125,in,3.125,5,0.125,Birch,0,g,0,0
Performance Rocketry,Birch Centering Ring,Birch Centering Ring 5inx98mmx.125,in,4.025,5,0.125,Birch,0,g,0,0
Performance Rocketry,Birch Centering Ring,Birch Centering Ring 5.5inx54mmx.125,in,2.277,5.375,0.125,Birch,0,g,0,0
Performance Rocketry,Birch Centering Ring,Birch Centering Ring 5.5inx75mmx.125,in,3.125,5.375,0.125,Birch,0,g,0,0
Performance Rocketry,Birch Centering Ring,Birch Centering Ring 5.5inx98mmx.125,in,4.025,5.375,0.125,Birch,0,g,0,0
Performance Rocketry,Birch Centering Ring,Birch Centering Ring 6inx54mmx.125,in,2.277,6,0.125,Birch,0,g,0,0
Performance Rocketry,Birch Centering Ring,Birch Centering Ring 6inx75mmx.125,in,3.125,6,0.125,Birch,0,g,0,0
Performance Rocketry,Birch Centering Ring,Birch Centering Ring 6inx98mmx.125,in,4.025,6,0.125,Birch,0,g,0,0
Performance Rocketry,Birch Centering Ring,Birch Centering Ring 7.5inx75mmx.125,in,3.125,7.518,0.125,Birch,0,g,0,0
Performance Rocketry,Birch Centering Ring,Birch Centering Ring 7.5inx98mmx.125,in,4.025,7.518,0.125,Birch,0,g,0,0
Performance Rocketry,Birch Centering Ring,Birch Centering Ring 8inx75mmx.125,in,3.125,7.815,0.125,Birch,0,g,0,0
Performance Rocketry,Birch Centering Ring,Birch Centering Ring 8inx98mmx.125,in,4.025,7.815,0.125,Birch,0,g,0,0
Performance Rocketry,Birch Centering Ring,Birch Centering Ring 9inx75mmx.125,in,3.125,9,0.125,Birch,0,g,0,0
Performance Rocketry,Birch Centering Ring,Birch Centering Ring 9inx98mmx.125,in,4.025,9,0.125,Birch,0,g,0,0
Performance Rocketry,Birch Centering Ring,Birch Centering Ring 11.5inx75mmx.188,in,3.125,11.42,0.188,Birch,0,g,0,0
Performance Rocketry,Birch Centering Ring,Birch Centering Ring 11.5inx98mmx.188,in,4.025,11.42,0.188,Birch,0,g,0,0
