Mfg.,Part No.,Desc.,Units,Length,Outer Dia,L/D Ratio,Insert Length,Insert OD,Thickness,Shape,Config,Material,CG Loc,Mass Units,Mass,Base Ext. Len,Base Ext. Len,Base Ext. Len,Base Ext. Len,Base Ext. Len,Base Ext. Len,Base Ext. Len,Base Ext. Len,Base Ext. Len,Base Ext. Len,Base Ext. Len,Base Ext. Len,Base Ext. Len,Base Ext. Len
Performance Rocketry,24mm,Fiberglass Conical 5:1,in,5,1.045,0,1.5,0.945,0.088,cone,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,29mm,Fiberglass Ogive 4:1,in,4.9,1.255,0,1.5,1.145,0.088,ogive,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,29mm,Fiberglass Conical 4:1,in,4.9,1.255,0,1.5,1.145,0.088,cone,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,29mm,Fiberglass Conical 5:1,in,6.2,1.255,0,1.5,1.145,0.088,cone,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,29mm,Fiberglass Ogive 4:1,in,4.9,1.255,0,1.5,1.145,0.088,ogive,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,38mm,Fiberglass Conical 4:1,in,6.5,1.645,0,2,1.52,0.088,cone,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,38mm,Fiberglass Ogive  4:1,in,6.5,1.645,0,2,1.52,0.088,ogive,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,38mm,Fiberglass Conical 5:1,in,8,1.645,0,2,1.52,0.088,cone,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,38mm,Fiberglass Von Karman 5:1,in,8,1.645,0,2,1.52,0.088,sh,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,38mm,Fiberglass Conical 6:1,in,9.6,1.645,0,2,1.52,0.088,cone,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,54mm,Fiberglass Ogive  4:1,in,9.2,2.277,0,2.25,2.152,0.125,ogive,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,54mm,Fiberglass Ogive 5:1,in,11.45,2.277,0,2.25,2.152,0.125,ogive,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,54mm,Fiberglass Conical 5:1,in,11.35,2.277,0,2.25,2.152,0.125,cone,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,54mm,Fiberglass Conical 6:1,in,13.8,2.277,0,2.25,2.152,0.125,cone,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,54mm,Fiberglass Von Karman 5:1,in,11.35,2.277,0,2.25,2.152,0.125,sh,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,2.6 in,Fiberglass Conical 5:1,in,13,2.685,0,2.25,2.56,0.125,cone,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,2.6 in,Fiberglass Nike Smoke,in,14.75,3.06,0,2.25,2.56,0.125,cone,hollow,G10 Fiberglass,,oz,0,0.75,,,,,,,,,,,,,
Performance Rocketry,3 in,Fiberglass Ogive  3:1,in,9.3,3.125,0,2.75,3,0.125,ogive,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,3 in,Fiberglass Ogive  4:1,in,12.4,3.125,0,2.75,3,0.125,ogive,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,3 in,Fiberglass Ogive  5:1,in,15.5,3.125,0,2.75,3,0.125,ogive,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,3 in,Fiberglass Ogive  6:1,in,18.6,3.125,0,2.75,3,0.125,ogive,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,3 in,Fiberglass Conical 4:1,in,12.5,3.125,0,2.75,3,0.125,cone,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
Performance Rocketry,3 in,Fiberglass Conical 5:1,in,15.5,3.125,0,2.75,3,0.125,cone,hollow,G10 Fiberglass,,oz,0,0,,,,,,,,,,,,,
