Mfg.,Part No.,Desc.,Units,ID,OD,Length,Material,CG,Mass Units,Mass,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize,AutoSize
Performance Rocketry,Std. G10 Fiberglass Coupler,1.14in Coupler/4in,in,1,1.143,4,G10 Fiberglass,2,oz,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Std. G10 Fiberglass Coupler,1.52in Coupler/4in,in,1.37,1.518,4,G10 Fiberglass,2,oz,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Std. G10 Fiberglass Coupler,2.15in Coupler/6in,in,2,2.15,6,G10 Fiberglass,3,oz,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Std. G10 Fiberglass Coupler,2.15in Coupler Long/8in,in,2,2.15,8,G10 Fiberglass,4,oz,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Std. G10 Fiberglass Coupler,2.5 Inch Coupler/6in,in,2.375,2.498,6,G10 Fiberglass,3,oz,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Std. G10 Fiberglass Coupler,3 Inch Coupler/6in,in,2.875,2.998,6,G10 Fiberglass,3,oz,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Std. G10 Fiberglass Coupler,3 Inch Coupler Long/9in,in,2.875,2.998,9,G10 Fiberglass,4.5,oz,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Std. G10 Fiberglass Coupler,3.5 Inch Coupler/8in,in,3.25,3.398,8,G10 Fiberglass,4,oz,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Std. G10 Fiberglass Coupler,4 Inch Coupler/9in,in,3.755,3.898,9,G10 Fiberglass,4.5,oz,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance Rocketry,Std. G10 Fiberglass Coupler,4 Inch Coupler Long/12in,in,3.755,3.898,12,G10 Fiberglass,6,oz,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
