Mfg.,Part No.,Desc.,Units,Front Insert Len,Front Insert OD,Front OD,Length,Rear OD,Core Dia.,Rear Insert Len,Rear Insert OD,Thickness,Config,Material,CG Loc,Mass Units,Mass,Shape,Shape,Shape,Shape,Shape,Shape,Shape,Shape,Shape,Shape,Shape,Shape
Performance Rocketry,Fiberglass Transition,4in to 38mm dia. Nike Booster,in,2,1.52,1.645,4,4.15,0,3,3.9,0.125,hollow,Polystyrene PS,0,oz,0,cone,,,,,,,,,,,
Performance Rocketry,Fiberglass Transition,5.5in to 54mm dia. Nike Booster,in,2,2.152,2.277,5.5,5.525,0,3,5.375,0.125,hollow,Polystyrene PS,0,oz,0,cone,,,,,,,,,,,
Performance Rocketry,Fiberglass Transition,Conical long 6in to 3in dia.,in,2,5.875,6,14,3.125,0,2.5,3,0.125,hollow,Polystyrene PS,0,oz,0,cone,,,,,,,,,,,
Performance Rocketry,Fiberglass Transition,Conical long 6in to 3in dia. Rev,in,2.5,3,3.125,14,6,0,2,5.875,0.125,hollow,Polystyrene PS,0,oz,0,cone,,,,,,,,,,,
Performance Rocketry,Fiberglass Transition,Conical long 6in to 4in dia.,in,2,5.875,6,14,4.15,0,3,3.9,0.125,hollow,Polystyrene PS,0,oz,0,cone,,,,,,,,,,,
Performance Rocketry,Fiberglass Transition,Conical long 6in to 4in dia. Rev,in,3,3.9,4.15,14,6,0,3,5.875,0.125,hollow,Polystyrene PS,0,oz,0,cone,,,,,,,,,,,
Performance Rocketry,Fiberglass Transition,Conical 7.5in to 5.5in dia.,in,4,7.518,7.708,5.5,5.525,0,3,5.375,0.125,hollow,Polystyrene PS,0,oz,0,cone,,,,,,,,,,,
Performance Rocketry,Fiberglass Transition,Conical 7.5in to 5.5in dia. Rev,in,3,5.375,5.525,5.5,7.708,0,4,7.518,0.125,hollow,Polystyrene PS,0,oz,0,cone,,,,,,,,,,,
Performance Rocketry,Fiberglass Transition,8in to 3in dia. Nike Booster,in,3,3,3.125,8,8,0,5,7.875,0.125,hollow,Fiberglass,0,oz,0,cone,,,,,,,,,,,
Performance Rocketry,Custom Fiberglass Nose Cone Rev,Conical 3.1inx15.5in for Honest J-B(2.247BT),in,0.5,3,3.1,4.5,2.247,0,0,0,0.125,hollow,Fiberglass,0,oz,0,cone,,,,,,,,,,,
