Mfg.,Part no,Desc,Units,Root chord,Tip chord,Span,Sweep,Thickness,Shape,Tip shape,Material,Npoints,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
PML,CirrusDart,Cirrus Fins,in,3.5,1.5,2,2.531,0.0625,,square,G10 fiberglass,5,3.49555969382414|             0.,3.747386993524089|             0.881228265061307,3.752451030001824|             1.994997991119145,2.356802576737988|             2.002666389214002,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PML,PML Matrix,Upper payload fins,in,4.75,3.15,0.62,0.8,0.0938,,square,G10 fiberglass,4,4.75|             0.,4.|             0.62,0.75|             0.62,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PML,PML Matrix,Lower main fin set,in,4,1.824,5.75,3.306,0.0938,,square,G10 fiberglass,5,4.|             0.,5.38|             4.,5.38|             5.75,0.|             2.,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PML,PML Mini BBX,Lower fins,in,5.75,3.338,2.75,4.932,0.063,,square,G10 fiberglass,5,5.75|             0.,6.5|             0.375,7.875|             2.749623570271068,4.75|             2.741438242031717,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PML,PML Ptero Jr,Fins,in,17.759,12.447,4.25,13.054,0.063,,square,G10 fiberglass,5,17.759|             0.,16.263999999999999|             4.25,12.739000000000001|             4.25,11.893000000000001|             1.514,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PML,PML Pterodactyl,Fins,in,34,26.079,8.5,24.793,0.094,,square,G10 fiberglass,5,34.|             0.,31.25|             8.5,24.75|             8.5,23.|             2.75,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PML,PML A-02 & Io & Callisto,Fins,in,4,1.772,4,1.114,0.0625,,square,G10 fiberglass,4,4.|             0.,3.|             4.,1.|             4.,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PML,PML A-03 & Explorer,Fins,in,5.5,0.248,4,4.563,0.0625,,square,G10 fiberglass,4,5.5|             0.,5.5|             3.,4.|             4.,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PML,PML A-04 & Phobos,Fins,in,6.5,3.152,4,4.924,0.0625,,square,G10 fiberglass,3,6.5|             0.,6.5|             4.,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PML,PML A-07,Fins,in,6.5,2.348,4,4.855,0.0625,,square,G10 fiberglass,4,6.5|             0.,6.5|             2.,5.75|             4.,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PML,PML A-09,Fins,in,6.5,0.681,3,4.785,0.0625,,square,G10 fiberglass,4,6.5|             0.,6.|             3.,4.25|             3.,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PML,PML B-02 & Ariel,Fins,in,5,2.187,5,1.406,0.0625,,square,G10 fiberglass,4,5.|             0.,3.75|             5.,1.25|             5.,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PML,PML B-03 & Qleap Upper,Fins,in,7,8.274,5,2.053,0.063,,square,G10 fiberglass,4,7.|             0.,7.|             3.75,5.5|             5.,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PML,PML B-04,Fins,in,8,4,5,6,0.0625,,square,G10 fiberglass,3,8.|             0.,8.|             5.,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PML,PML B-07,Fins,in,8,2.685,5,5.871,0.0625,,square,G10 fiberglass,4,8.|             0.,8.|             2.5,6.75|             5.,0.|             0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PML,PML B-09,Fins,in,8,0.131,4,6.56,0.063,,square,G10 fiberglass,4,8.|             0.,7.5|             4.,5.75|             4.,0.|             0.
PML,PML C-02,Fins,in,6,2.625,6,1.687,0.0938,,square,G10 fiberglass,4,6.|             0.,4.5|             6.,1.5|             6.,0.|             0.
PML,PML C-03,Fins,in,9,0.035,6,7.318,0.0938,,square,G10 fiberglass,4,9.|             0.,9.|             4.25,6.|             6.,0.|             0.
PML,PML C-05,Fins,in,6,2.254,5,2.748,0.0938,,square,G10 fiberglass,4,6.|             0.,5.25|             5.,2.5|             5.,0.|             0.
PML,PML C-07,Fins,in,10,3.262,6,7.425,0.0938,,square,G10 fiberglass,4,10.|             0.,10.|             3.,8.5|             6.,0.|             0.
PML,PML C-09,Fins,in,10,0.277,5,8.237,0.0938,,square,G10 fiberglass,4,10.|             0.,9.5|             5.,7.25|             5.,0.|             0.
PML,PML D-02,Fins,in,8,2.877,8,2.312,0.094,,square,G10 fiberglass,4,8.|             0.,5.5|             8.,2.|             8.,0.|             0.
PML,PML D-03,Fins,in,12,13.745,8,3.662,0.0938,,square,G10 fiberglass,4,12.|             0.,12.|             6.25,9.25|             8.,0.|             0.
PML,PML D-05,Fins,in,8,2.877,6.5,3.812,0.0938,,square,G10 fiberglass,4,8.|             0.,7.|             6.5,3.5|             6.5,0.|             0.
PML,PML D-07,Fins,in,13.5,4.429,8,10.028,0.0938,,square,G10 fiberglass,4,13.5|             0.,13.5|             4.,11.5|             8.,0.|             0.
PML,PML D-09,Fins,in,13.5,0.306,6.5,11.347,0.0938,,square,G10 fiberglass,4,13.5|             0.,13.|             6.5,10.|             6.5,0.|             0.
PML,PML Aurora,Fins,in,9.25,0.913,5.5,8.16,0.0625,,square,G10 fiberglass,4,9.250000122100001|             0.,9.5000001254|             4.7500000627,7.750000102300001|             5.500000072599999,0.|             0.
PML,PML Hydra,Simulated 4 for 2 fins,in,3.875,0.297,2.625,2.227,0.0938,,square,G10 fiberglass,4,3.875|             0.,2.875|             2.625,1.875|             2.625,0.|             0.
PML,PML Hydra,4 swept-back fins,in,4.625,1.631,6.25,7.185,0.0938,,square,G10 fiberglass,4,4.625|             0.,9.|             6.25,7.|             6.25,0.|             0.
PML,PML Intruder,Simulated 4 for 2 Fins,in,3.125,1.623,2.125,0.689,0.063,,square,G10 fiberglass,4,3.125|             0.,2.375|             2.125,0.625|             2.125,0.|             0.
PML,PML Ptero Jr,NO STRAKE Fins,in,6.25,3.238,4.25,1.384,0.063,,square,G10 fiberglass,4,6.25|             0.,4.75|             4.25,1.256111741726874|             4.25000002805,0.|             0.
