Material Name,Units,Density,Low,High,Class,Rocketry Use,Body Tubes,Fin Sets,Launch Lugs,Cords,Nose,Chute,Stream,Trans,Ring,Bulkhead,Engine Block,Sleeve,Tube Coupler,spare,spare,spare,spare,spare,spare,spare,spare,spare,spare
Acrylic (Cast),lb/ft3,74,74,74,Plastic,y,n,y,n,n,y,n,n,n,y,y,y,n,n,n,n,n,n,n,n,n,n,n,n
Aircraft plywood (Birch),lb/ft3,45.259999999999998,43.560000000000002,46.960000000000001,unknown,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Ash,lb/ft3,42.5,40,45,unknown,0,0,1,0,0,1,0,0,1,1,1,0,0,0,n,n,n,n,n,n,n,n,n,n
Balsa,lb/ft3,8,8,8,unknown,1,1,1,1,0,1,0,0,1,1,1,1,1,1,n,n,n,n,n,n,n,n,n,n
Basswood,lb/ft3,26.5,25,28,unknown,1,1,1,1,0,1,0,0,1,1,1,1,1,1,n,n,n,n,n,n,n,n,n,n
Beech,lb/ft3,45,45,45,Wood,n,y,y,y,n,y,y,y,y,y,y,y,y,y,n,n,n,n,n,n,n,n,n,n
Birch,lb/ft3,42.5,40,45,Wood,n,y,y,y,n,y,y,y,y,y,y,y,y,y,n,n,n,n,n,n,n,n,n,n
Brass,lb/ft3,534,534,534,Metal,y,y,y,y,n,y,n,n,y,y,y,y,n,n,n,n,n,n,n,n,n,n,n,n
Cardboard,lb/ft3,43,43,43,unknown,1,1,1,1,0,1,0,0,1,1,1,1,1,1,n,n,n,n,n,n,n,n,n,n
Chalk (Fine),lb/ft3,70,70,70,Mineral,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
Copper (cast),lb/ft3,542,542,542,unknown,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
