Mfg.,Part No.,Desc.,Units,ID,OD,Length,Material,CG,Mass Units,Mass,AutoSize
SEMROC Astronautics,BTC-5,Semroc Solid Balsa Tube Adapter - Series 5,in,0.000,0.515,0.750,Balsa,0.375,oz,0.010,0
SEMROC Astronautics,BTC-7,Semroc Solid Balsa Tube Adapter - Series 7,in,0.000,0.715,1.000,Balsa,0.500,oz,0.026,0
SEMROC Astronautics,BTC-8,Semroc Solid Balsa Tube Adapter - Series 8,in,0.000,0.865,1.000,Balsa,0.500,oz,0.038,0
SEMROC Astronautics,BTC-8F,Semroc Solid Balsa Tube Adapter - Series 8F,in,0.000,0.885,1.000,Balsa,0.500,oz,0.038,0
SEMROC Astronautics,BTC-9,Semroc Solid Balsa Tube Adapter - Series 9,in,0.000,0.950,1.500,Balsa,0.750,oz,0.045,0
SEMROC Astronautics,BTC-10,Semroc Solid Balsa Tube Adapter - Series 10,in,0.000,1.000,1.500,Balsa,0.750,oz,0.064,0
SEMROC Astronautics,BTC-11,Semroc Solid Balsa Tube Adapter - Series 11,in,0.000,1.130,1.500,Balsa,0.750,oz,0.069,0
SEMROC Astronautics,BTC-13,Semroc Solid Balsa Tube Adapter - Series 13,in,0.000,1.300,1.750,Balsa,0.875,oz,0.125,0
SEMROC Astronautics,BTC-16,Semroc Solid Balsa Tube Adapter - Series 16,in,0.000,1.600,1.750,Balsa,0.875,oz,0.175,0
SEMROC Astronautics,BTC-18,Semroc Solid Balsa Tube Adapter - Series 18,in,0.000,1.800,1.750,Balsa,0.875,oz,0.200,0
SEMROC Astronautics,BTC-20,Semroc Solid Balsa Tube Adapter - Series 20,in,0.000,2.000,2.100,Balsa,1.050,oz,0.265,0
SEMROC Astronautics,BTC-085,Semroc Solid Balsa Tube Adapter - Series 85,in,0.000,0.865,1.500,Balsa,0.750,oz,0.057,0
SEMROC Astronautics,BTC-115,Semroc Solid Balsa Tube Adapter - Series 115,in,0.000,1.150,1.750,Balsa,0.875,oz,0.112,0
SEMROC Astronautics,BTC-125,Semroc Solid Balsa Tube Adapter - Series 125,in,0.000,1.250,2.000,Balsa,1.000,oz,0.160,0
SEMROC Astronautics,BTC-150,Semroc Solid Balsa Tube Adapter - Series 150,in,0.000,1.500,2.000,Balsa,1.000,oz,0.235,0
SEMROC Astronautics,BTC-175,Semroc Solid Balsa Tube Adapter - Series 175,in,0.000,1.750,2.250,Balsa,1.125,oz,0.335,0
SEMROC Astronautics,BTC-225,Semroc Solid Balsa Tube Adapter - Series 225,in,0.000,2.250,2.500,Balsa,1.250,oz,0.635,0
SEMROC Astronautics,BTC-275,Semroc Solid Balsa Tube Adapter - Series 275,in,0.000,2.750,3.000,Balsa,1.500,oz,1.135,0
SEMROC Astronautics,NB-3,Semroc Solid Balsa Tube Adapter - Series BT-3,in,0.000,0.349,0.750,Balsa,0.375,oz,0.007,0
SEMROC Astronautics,NB-5,Semroc Solid Balsa Tube Adapter - Series BT-5,in,0.000,0.515,0.750,Balsa,0.375,oz,0.010,0
SEMROC Astronautics,NB-20,Semroc Solid Balsa Tube Adapter - Series BT-20,in,0.000,0.710,0.750,Balsa,0.375,oz,0.020,0
SEMROC Astronautics,NB-30,Semroc Solid Balsa Tube Adapter - Series BT-30,in,0.000,0.725,0.750,Balsa,0.375,oz,0.020,0
SEMROC Astronautics,NB-40,Semroc Solid Balsa Tube Adapter - Series BT-40,in,0.000,0.765,1.000,Balsa,0.500,oz,0.028,0
SEMROC Astronautics,NB-50,Semroc Solid Balsa Tube Adapter - Series BT-50,in,0.000,0.950,1.000,Balsa,0.500,oz,0.040,0
SEMROC Astronautics,NB-50L,Semroc Solid Balsa Tube Adapter - Series BT-50,in,0.000,0.950,1.190,Balsa,0.595,oz,0.077,0
SEMROC Astronautics,NB-55,Semroc Solid Balsa Tube Adapter - Series BT-55,in,0.000,1.283,1.250,Balsa,0.625,oz,0.115,0
SEMROC Astronautics,NB-60,Semroc Solid Balsa Tube Adapter - Series BT-60,in,0.000,1.595,1.500,Balsa,0.750,oz,0.170,0
SEMROC Astronautics,NB-65,Semroc Solid Balsa Tube Adapter - Series BT-65,in,0.000,1.750,1.750,Balsa,0.875,oz,0.210,0
SEMROC Astronautics,NB-70,Semroc Solid Balsa Tube Adapter - Series BT-70,in,0.000,2.175,2.000,Balsa,1.000,oz,0.220,0
SEMROC Astronautics,NB-80,Semroc Solid Balsa Tube Adapter - Series BT-80,in,0.000,2.558,3.000,Balsa,1.500,oz,0.370,0
