Mfg.,Part No.,Desc.,Units,ID,OD,Length,Material,CG,Mass Units,Mass,AutoSize
SEMROC Astronautics,CR-57,Centering Ring #5 to #7,in,0.545,0.713,0.250,Fiber,0.125,oz,0,0
SEMROC Astronautics,CR-58,Centering Ring #5 to #8,in,0.545,0.863,0.250,Fiber,0.125,oz,0,0
SEMROC Astronautics,CR-510,Centering Ring #5 to #10,in,0.545,0.998,0.050,Fiber,0.025,oz,0,0
SEMROC Astronautics,CR-513,Centering Ring #5 to #13,in,0.545,1.298,0.050,Fiber,0.025,oz,0,0
SEMROC Astronautics,CR-78,Centering Ring #7 to #8,in,0.761,0.863,0.250,Fiber,0.125,oz,0,0
SEMROC Astronautics,CR-78F,Centering Ring #7 to #8F,in,0.761,0.883,0.070,Fiber,0.035,oz,0,0
SEMROC Astronautics,CR-78L,Centering Ring #7 to #8,in,0.761,0.863,0.080,Fiber,0.040,oz,0,0
SEMROC Astronautics,CR-79,Centering Ring #7 to #9,in,0.761,0.948,0.250,Fiber,0.125,oz,0,0
SEMROC Astronautics,CR-710,Centering Ring #7 to #10,in,0.761,0.998,0.250,Fiber,0.125,oz,0,0
SEMROC Astronautics,CR-711,Centering Ring #7 to #11,in,0.761,1.110,0.050,Fiber,0.025,oz,0,0
SEMROC Astronautics,CR-713,Centering Ring #7 to #13,in,0.761,1.298,0.050,Fiber,0.025,oz,0,0
SEMROC Astronautics,CR-716,Centering Ring #7 to #16,in,0.761,1.598,0.050,Fiber,0.025,oz,0,0
SEMROC Astronautics,CR-718,Centering Ring #7 to #18,in,0.761,1.798,0.050,Fiber,0.025,oz,0,0
SEMROC Astronautics,CR-720,Centering Ring #7 to #20,in,0.761,1.998,0.050,Fiber,0.025,oz,0,0
SEMROC Astronautics,CR-9115,Centering Ring #9 to #115,in,1.000,1.120,1.000,Fiber,0.500,oz,0,0
SEMROC Astronautics,CR-9-13,Centering Ring #9 to #13,in,1.000,1.298,0.050,Fiber,0.025,oz,0,0
SEMROC Astronautics,CR-916,Centering Ring #9 to #16,in,1.000,1.598,0.050,Fiber,0.025,oz,0,0
SEMROC Astronautics,CR-9-16P,Centering Ring #9 to #16,in,1.000,1.598,0.110,lite ply,0.055,oz,0,0
SEMROC Astronautics,CR-918,Centering Ring #9 to #18,in,1.000,1.798,0.050,Fiber,0.025,oz,0,0
SEMROC Astronautics,CR-9-20,Centering Ring #9 to #20,in,1.000,1.998,0.050,Fiber,0.025,oz,0,0
SEMROC Astronautics,CR-9-225P,Centering Ring #9 to #225,in,1.000,2.248,0.110,lite ply,0.055,oz,0,0
SEMROC Astronautics,CR-9-150P,Centering Ring #9 to #150,in,1.000,1.498,0.110,lite ply,0.055,oz,0,0
SEMROC Astronautics,CR-9-70,Centering Ring #9 to BT-70,in,1.000,2.173,0.050,Fiber,0.025,oz,0,0
SEMROC Astronautics,CR-9-80,Centering Ring #9 to BT-80,in,1.000,2.566,0.050,Fiber,0.025,oz,0,0
SEMROC Astronautics,CR-9-80P,Centering Ring #9 to BT-80,in,1.000,2.566,0.110,lite ply,0.055,oz,0,0
SEMROC Astronautics,CR-10-13,Centering Ring #10 to #13,in,1.042,1.298,0.050,Fiber,0.025,oz,0,0
SEMROC Astronautics,CR-10-16,Centering Ring #10 to #16,in,1.042,1.598,0.050,Fiber,0.025,oz,0,0
SEMROC Astronautics,CR-10-20,Centering Ring #10 to #20,in,1.042,1.998,0.050,Fiber,0.025,oz,0,0
SEMROC Astronautics,CR-11516,Centering Ring #115 to #16,in,1.222,1.598,0.050,Fiber,0.025,oz,0,0
SEMROC Astronautics,CR-11520,Centering Ring #115 to #20,in,1.222,1.998,0.050,Fiber,0.025,oz,0,0
SEMROC Astronautics,CR-115-18,Centering Ring #115 to #18,in,1.222,1.798,0.050,Fiber,0.025,oz,0,0
