Mfg.,Part No.,Desc.,Units,ID,OD,Length,Material,CG,Mass Units,Mass,AutoSize
SEMROC Astronautics,HTC-5,Tube Coupler Series 5,in,0.473,0.515,0.750,Paper,0.375,oz,0.010,0
SEMROC Astronautics,HTC-7,Tube Coupler Series 7,in,0.673,0.715,1.000,Paper,0.500,oz,0.026,0
SEMROC Astronautics,HTC-7B,Tube Coupler Series 7,in,0.719,0.761,1.000,Paper,0.500,oz,0.026,0
SEMROC Astronautics,HTC-8,Tube Coupler Series 8,in,0.823,0.865,1.000,Paper,0.500,oz,0.038,0
SEMROC Astronautics,HTC-8F,Tube Coupler Series 8F,in,0.843,0.885,1.000,Paper,0.500,oz,0.039,0
SEMROC Astronautics,HTC-9,Tube Coupler Series 9,in,0.908,0.950,1.000,Paper,0.500,oz,0.041,0
SEMROC Astronautics,HTC-10,Tube Coupler Series 10,in,0.958,1.000,1.500,Paper,0.750,oz,0.064,0
SEMROC Astronautics,HTC-11,Tube Coupler Series 11,in,1.088,1.130,1.500,Paper,0.750,oz,0.071,0
SEMROC Astronautics,HTC-13,Tube Coupler Series 13,in,1.258,1.300,1.750,Paper,0.875,oz,0.125,0
SEMROC Astronautics,HTC-16,Tube Coupler Series 16,in,1.558,1.600,1.750,Paper,0.875,oz,0.175,0
SEMROC Astronautics,HTC-18,Tube Coupler Series 18,in,1.758,1.800,1.750,Paper,0.875,oz,0.210,0
SEMROC Astronautics,HTC-20,Tube Coupler Series 20,in,1.958,2.000,2.100,Paper,1.050,oz,0.265,0
SEMROC Astronautics,JT-5C,Tube Coupler Series BT-5,in,0.473,0.515,0.750,Paper,0.375,oz,0.010,0
SEMROC Astronautics,JT-20C,Tube Coupler Series BT-20,in,0.668,0.710,1.000,Paper,0.500,oz,0.026,0
SEMROC Astronautics,JT-50C,Tube Coupler Series BT-50,in,0.908,0.950,1.000,Paper,0.500,oz,0.039,0
SEMROC Astronautics,JT-55C,Tube Coupler Series BT-55,in,1.241,1.283,1.500,Paper,0.750,oz,0.049,0
SEMROC Astronautics,JT-60C,Tube Coupler Series BT-60,in,1.553,1.595,1.750,Paper,0.875,oz,0.055,0
SEMROC Astronautics,JT-70D,Tube Coupler Series BT-70,in,2.133,2.175,0.625,Paper,0.313,oz,0.087,0
SEMROC Astronautics,JT-70E,Tube Coupler Series BT-70,in,2.133,2.175,4.000,Paper,2.000,oz,0.557,0
SEMROC Astronautics,JT-80E,Tube Coupler Series BT-80,in,2.514,2.556,4.000,Paper,2.000,oz,0.730,0
