Manufacturer,PartNumber,Type,InnerDiameter,OuterDiameter,Length
Semroc,BT-3,BodyTube,0.008865,0.009525,0.4572
Semroc,BT-3H,BodyTube,0.008865,0.009525,0.0762
Semroc,BT-3XW,BodyTube,0.008865,0.009525,0.0381
Semroc,BT-4,BodyTube,0.010719,0.011379,0.4572
Semroc,BT-4HW,BodyTube,0.010719,0.011379,0.1524
Semroc,BT-4IJ,BodyTube,0.010719,0.011379,0.2286
Semroc,BT-4LJ,BodyTube,0.010719,0.011379,0.0635
Semroc,BT-4W,BodyTube,0.010719,0.011379,0.3048
Semroc,BT-5,BodyTube,0.013081,0.013792,0.4572
Semroc,BT-5BJ,BodyTube,0.013081,0.013792,0.0508
Semroc,BT-5CJ,BodyTube,0.013081,0.013792,0.0762
Semroc,BT-5P,BodyTube,0.013081,0.013792,0.12954
Semroc,BT-5T,BodyTube,0.013081,0.013792,0.0381
Semroc,BT-5TP,BodyTube,0.013081,0.013792,0.1524
Semroc,BT-5XW,BodyTube,0.013081,0.013792,0.34925
Semroc,BT-19,BodyTube,0.01712,0.01778,0.4572
Semroc,BT-20,BodyTube,0.018034,0.018694,0.4572
Semroc,BT-20AE,BodyTube,0.018034,0.018694,0.0381
Semroc,BT-20B,BodyTube,0.018034,0.018694,0.21971
Semroc,BT-20D,BodyTube,0.018034,0.018694,0.1651
Semroc,BT-20DJ,BodyTube,0.018034,0.018694,0.1016
Semroc,BT-20E,BodyTube,0.018034,0.018694,0.19685
Semroc,BT-20G,BodyTube,0.018034,0.018694,0.0889
Semroc,BT-20J,BodyTube,0.018034,0.018694,0.06985
Semroc,BT-20L,BodyTube,0.018034,0.018694,0.3048
Semroc,BT-20M,BodyTube,0.018034,0.018694,0.05715
Semroc,BT-20N,BodyTube,0.018034,0.018694,0.24765
Semroc,BT-20P,BodyTube,0.018034,0.018694,0.34925
Semroc,BT-20XW,BodyTube,0.018034,0.018694,0.2032
Semroc,BT-30,BodyTube,0.018415,0.019482,0.2286
Semroc,BT-30-180,BodyTube,0.018415,0.019482,0.4572
Semroc,BT-30A,BodyTube,0.018415,0.019482,0.0889
Semroc,BT-30AP,BodyTube,0.018415,0.019482,0.0889
Semroc,BT-30B,BodyTube,0.018415,0.019482,0.1557
Semroc,BT-30C,BodyTube,0.018415,0.019482,0.1397
Semroc,BT-30F,BodyTube,0.018415,0.019482,0.2032
Semroc,BT-30J,BodyTube,0.018415,0.019482,0.06985
Semroc,BT-30K,BodyTube,0.018415,0.019482,0.06985
Semroc,BT-30XW,BodyTube,0.018415,0.019482,0.0762
Semroc,BT-40,BodyTube,0.019431,0.020955,0.33655
Semroc,BT-40-185,BodyTube,0.019431,0.020955,0.4699
Semroc,BT-40W,BodyTube,0.019431,0.020955,0.23495
Semroc,BT-50,BodyTube,0.02413,0.02479,0.4572
Semroc,BT-50-113,BodyTube,0.02413,0.02479,0.28575
Semroc,BT-50A,BodyTube,0.02413,0.02479,0.254
Semroc,BT-50AE,BodyTube,0.02413,0.02479,0.0381
Semroc,BT-50AH,BodyTube,0.02413,0.02479,0.04775
Semroc,BT-50B,BodyTube,0.02413,0.02479,0.26035
Semroc,BT-50BH,BodyTube,0.02413,0.02479,0.20955
Semroc,BT-50EE,BodyTube,0.02413,0.02479,0.1397
Semroc,BT-50F,BodyTube,0.02413,0.02479,0.127
Semroc,BT-50FE,BodyTube,0.02413,0.02479,0.1651
Semroc,BT-50H,BodyTube,0.02413,0.02479,0.19685
Semroc,BT-50IJ,BodyTube,0.02413,0.02479,0.2286
Semroc,BT-50J,BodyTube,0.02413,0.02479,0.06985
Semroc,BT-50KE,BodyTube,0.02413,0.02479,0.381
Semroc,BT-50L,BodyTube,0.02413,0.02479,0.32258
Semroc,BT-50N,BodyTube,0.02413,0.02479,0.3556
Semroc,BT-50P,BodyTube,0.02413,0.02479,0.2794
Semroc,BT-50S,BodyTube,0.02413,0.02479,0.1016
Semroc,BT-50SV,BodyTube,0.02413,0.02479,0.41275
Semroc,BT-50TF,BodyTube,0.02413,0.02479,0.4064
Semroc,BT-50V,BodyTube,0.02413,0.02479,0.4191
Semroc,BT-50W,BodyTube,0.02413,0.02479,0.2413
Semroc,BT-50XW,BodyTube,0.02413,0.02479,0.3937
Semroc,BT-51CI,BodyTube,0.025019,0.025679,0.09855
Semroc,BT-51N,BodyTube,0.025019,0.025679,0.31547
Semroc,BT-51SE,BodyTube,0.025019,0.025679,0.0508
Semroc,BT-52,BodyTube,0.025095,0.025756,0.4572
Semroc,BT-52AG,BodyTube,0.025095,0.025756,0.05334
Semroc,BT-52S,BodyTube,0.025095,0.025756,100.0252
Semroc,BT-55,BodyTube,0.032588,0.033655,0.4572
Semroc,BT-55RJ,BodyTube,0.032588,0.033655,0.13335
Semroc,BT-55-109,BodyTube,0.032588,0.033655,0.27737
Semroc,BT-55-110,BodyTube,0.032588,0.033655,0.2794
Semroc,BT-55-113,BodyTube,0.032588,0.033655,0.28575
Semroc,BT-55C,BodyTube,0.032588,0.033655,0.3556
Semroc,BT-55E,BodyTube,0.032588,0.033655,0.0762
Semroc,BT-55IJ,BodyTube,0.032588,0.033655,0.2286
Semroc,BT-55J,BodyTube,0.032588,0.033655,0.06985
Semroc,BT-55KA,BodyTube,0.032588,0.033655,0.2667
Semroc,BT-55KG,BodyTube,0.032588,0.033655,0.42672
Semroc,BT-55S,BodyTube,0.032588,0.033655,0.1016
Semroc,BT-55V,BodyTube,0.032588,0.033655,0.41656
Semroc,BT-55W,BodyTube,0.032588,0.033655,0.3048
Semroc,BT-58,BodyTube,0.038049,0.039116,0.32385
Semroc,BT-58-180,BodyTube,0.038049,0.039116,0.4572
Semroc,BT-58AJ,BodyTube,0.038049,0.039116,0.254
Semroc,BT-58IJ,BodyTube,0.038049,0.039116,0.2286
Semroc,BT-58LJ,BodyTube,0.038049,0.039116,136.525
Semroc,BT-58SB,BodyTube,0.038049,0.039116,161.925
Semroc,BT-58SV,BodyTube,0.038049,0.039116,155.575
Semroc,BT-60,BodyTube,0.040513,0.04158,0.4572
Semroc,BT-60-63,BodyTube,0.040513,0.04158,0.15875
Semroc,BT-60AD,BodyTube,0.040513,0.04158,0.3556
Semroc,BT-60AE,BodyTube,0.040513,0.04158,0.36195
Semroc,BT-60AJ,BodyTube,0.040513,0.04158,0.254
Semroc,BT-60BB,BodyTube,0.040513,0.04158,0.1905
Semroc,BT-60C,BodyTube,0.040513,0.04158,0.0254
Semroc,BT-60D,BodyTube,0.040513,0.04158,0.2794
Semroc,BT-60DS,BodyTube,0.040513,0.04158,0.3175
Semroc,BT-60FG,BodyTube,0.040513,0.04158,0.17018
Semroc,BT-60HE,BodyTube,0.040513,0.04158,0.2159
