Manufacturer,PartNo,Description,Type,InnerDiameter,OuterDiameter,Length,Material
Semroc,CR-57,Centering Ring #5 to #7,CENTERING_RING,0.013843,0.0181102,0.00635,Fiber
Semroc,CR-58,Centering Ring #5 to #8,CENTERING_RING,0.013843,0.0219202,0.00635,Fiber
Semroc,CR-510,Centering Ring #5 to #10,CENTERING_RING,0.013843,0.0253492,0.00127,Fiber
Semroc,CR-513,Centering Ring #5 to #13,CENTERING_RING,0.013843,0.0329692,0.00127,Fiber
Semroc,CR-78,Centering Ring #7 to #8,CENTERING_RING,0.0193294,0.0219202,0.00635,Fiber
Semroc,CR-78F,Centering Ring #7 to #8F,CENTERING_RING,0.0193294,0.0224282,0.001778,Fiber
Semroc,CR-78L,Centering Ring #7 to #8,CENTERING_RING,0.0193294,0.0219202,0.002032,Fiber
Semroc,CR-79,Centering Ring #7 to #9,CENTERING_RING,0.0193294,0.0240792,0.00635,Fiber
Semroc,CR-710,Centering Ring #7 to #10,CENTERING_RING,0.0193294,0.0253492,0.00635,Fiber
Semroc,CR-711,Centering Ring #7 to #11,CENTERING_RING,0.0193294,0.028194,0.00127,Fiber
Semroc,CR-713,Centering Ring #7 to #13,CENTERING_RING,0.0193294,0.0329692,0.00127,Fiber
Semroc,CR-716,Centering Ring #7 to #16,CENTERING_RING,0.0193294,0.0405892,0.00127,Fiber
Semroc,CR-718,Centering Ring #7 to #18,CENTERING_RING,0.0193294,0.0456692,0.00127,Fiber
Semroc,CR-720,Centering Ring #7 to #20,CENTERING_RING,0.0193294,0.0507492,0.00127,Fiber
Semroc,CR-9115,Centering Ring #9 to #115,CENTERING_RING,0.0254,0.028448,0.0254,Fiber
Semroc,CR-9-13,Centering Ring #9 to #13,CENTERING_RING,0.0254,0.0329692,0.00127,Fiber
Semroc,CR-916,Centering Ring #9 to #16,CENTERING_RING,0.0254,0.0405892,0.00127,Fiber
Semroc,CR-9-16P,Centering Ring #9 to #16,CENTERING_RING,0.0254,0.0405892,0.002794,lite ply
Semroc,CR-918,Centering Ring #9 to #18,CENTERING_RING,0.0254,0.0456692,0.00127,Fiber
Semroc,CR-9-20,Centering Ring #9 to #20,CENTERING_RING,0.0254,0.0507492,0.00127,Fiber
Semroc,CR-9-225P,Centering Ring #9 to #225,CENTERING_RING,0.0254,0.0570992,0.002794,lite ply
Semroc,CR-9-150P,Centering Ring #9 to #150,CENTERING_RING,0.0254,0.0380492,0.002794,lite ply
Semroc,CR-9-70,Centering Ring #9 to BT-70,CENTERING_RING,0.0254,0.0551942,0.00127,Fiber
Semroc,CR-9-80,Centering Ring #9 to BT-80,CENTERING_RING,0.0254,0.0651764,0.00127,Fiber
Semroc,CR-9-80P,Centering Ring #9 to BT-80,CENTERING_RING,0.0254,0.0651764,0.002794,lite ply
Semroc,CR-10-13,Centering Ring #10 to #13,CENTERING_RING,0.0264668,0.0329692,0.00127,Fiber
Semroc,CR-10-16,Centering Ring #10 to #16,CENTERING_RING,0.0264668,0.0405892,0.00127,Fiber
Semroc,CR-10-20,Centering Ring #10 to #20,CENTERING_RING,0.0264668,0.0507492,0.00127,Fiber
Semroc,CR-11516,Centering Ring #115 to #16,CENTERING_RING,0.0310388,0.0405892,0.00127,Fiber
Semroc,CR-11520,Centering Ring #115 to #20,CENTERING_RING,0.0310388,0.0507492,0.00127,Fiber
Semroc,CR-115-18,Centering Ring #115 to #18,CENTERING_RING,0.0310388,0.0456692,0.00127,Fiber
