Manufacturer,PartNo,Description,Type,InnerDiameter,OuterDiameter,Length,Material
Semroc,TB-115,Thrust Block #115,ENGINE_BLOCK,0.0254,0.028956,0.00635,Fiber
Semroc,TR-115,Thrust Ring #115,ENGINE_BLOCK,0.0254,0.028956,0.0254,Fiber
Semroc,TB-5,Thrust Block #5,ENGINE_BLOCK,0.0104902,0.0130302,0.0047752,Fiber
Semroc,TR-5,Thrust Ring #5,ENGINE_BLOCK,0.0104902,0.0130302,0.009525,Fiber
Semroc,TB-7,Thrust Block #7,ENGINE_BLOCK,0.014605,0.0181102,0.0047752,Fiber
Semroc,TR-7,Thrust Ring #7,ENGINE_BLOCK,0.014605,0.0181102,0.009525,Fiber
Semroc,TR-9,Thrust Ring #9,ENGINE_BLOCK,0.0193294,0.0240792,0.00635,Fiber
Semroc,TS-9,Thrust Spacer #9,ENGINE_BLOCK,0.021971,0.0240792,0.0254,Fiber
Semroc,EB-20A,Engine Block BT-20,ENGINE_BLOCK,0.0131318,0.0179832,0.00635,Fiber
Semroc,EB-20B,Engine Block BT-20,ENGINE_BLOCK,0.0131318,0.0179832,0.003175,Fiber
Semroc,EB-30,Engine Block BT-30,ENGINE_BLOCK,0.0135128,0.0183642,0.01905,Fiber
