Manufacturer,PartNo,Description,Type,Length,AftOuterDiameter,AftShoulderLength,AftShoulderDiameter,Filled,Shape,Material,Mass
Semroc,BC-08542,Ogive,NOSE_CONE,0.10668,0.023876,0.0127,0.02159,1,ogive,Balsa,0.004252428
Semroc,BC-1016,Ogive,NOSE_CONE,0.04064,0.026416,0.0127,0.0254,1,ogive,Balsa,0.003401943
Semroc,BC-1019,Ogive,NOSE_CONE,0.04826,0.026416,0.0127,0.0254,1,ogive,Balsa,0.003685438
Semroc,BC-1020E,Elliptical,NOSE_CONE,0.0508,0.026416,0.0127,0.0254,1,elliptical,Balsa,0.003685438
Semroc,BC-1022,Bezier,NOSE_CONE,0.05588,0.026416,0.0127,0.0254,1,elliptical,Balsa,0.004252428
Semroc,BC-1024,Ogive,NOSE_CONE,0.06096,0.026416,0.0127,0.0254,1,ogive,Balsa,0.004252428
Semroc,BC-1031,Bezier,NOSE_CONE,0.07874,0.026416,0.0127,0.0254,1,elliptical,Balsa,0.004252428
Semroc,BC-1032,Ogive,NOSE_CONE,0.08128,0.026416,0.0127,0.0254,1,ogive,Balsa,0.004252428
Semroc,BC-1037,Ogive,NOSE_CONE,0.09398,0.026416,0.0127,0.0254,1,ogive,Balsa,0.004535924
Semroc,BC-1039,Ogive,NOSE_CONE,0.09906,0.026416,0.0127,0.0254,1,ogive,Balsa,0.004819419
Semroc,BC-1041,Conical,NOSE_CONE,0.10414,0.026416,0.0127,0.0254,1,cone,Balsa,0.005102914
Semroc,BC-1041G,Bezier,NOSE_CONE,0.10414,0.026416,0.0127,0.0254,1,elliptical,Balsa,0.005102914
Semroc,BC-1041P,Bezier,NOSE_CONE,0.10414,0.026416,0.0127,0.0254,1,elliptical,Balsa,0.005102914
Semroc,BC-1045,Ogive,NOSE_CONE,0.1143,0.026416,0.0127,0.0254,1,ogive,Balsa,0.005386409
Semroc,BC-1045P,Rounded Ogive,NOSE_CONE,0.1143,0.026416,0.0127,0.0254,1,ogive,Balsa,0.005386409
Semroc,BC-1048,Rounded Ogive,NOSE_CONE,0.12192,0.026416,0.0127,0.0254,1,ogive,Balsa,0.005386409
Semroc,BC-1050,Bezier,NOSE_CONE,0.127,0.026416,0.0127,0.0254,1,elliptical,Balsa,0.005669905
Semroc,BC-1051,Conical,NOSE_CONE,0.12954,0.026416,0.0127,0.0254,1,cone,Balsa,0.005669905
Semroc,BC-1052,Ogive,NOSE_CONE,0.13208,0.026416,0.0127,0.0254,1,ogive,Balsa,0.006236895
Semroc,BC-1135,Rounded Ogive,NOSE_CONE,0.0889,0.029718,0.0127,0.028702,1,ogive,Balsa,0.004252428
Semroc,BC-11518,Elliptical,NOSE_CONE,0.0889,0.030988,0.02032,0.028956,1,elliptical,Balsa,0.003685438
Semroc,BC-11524,Bezier,NOSE_CONE,0.06096,0.030988,0.02032,0.028956,1,elliptical,Balsa,0.004252428
Semroc,BC-11535,Bezier,NOSE_CONE,0.0889,0.030988,0.02032,0.028956,1,elliptical,Balsa,0.005669905
Semroc,BC-11544,Ogive,NOSE_CONE,0.11176,0.030988,0.02032,0.028956,1,ogive,Balsa,0.006236895
Semroc,BC-11546,Ogive,NOSE_CONE,0.11684,0.030988,0.02032,0.028956,1,ogive,Balsa,0.00652039
Semroc,BC-11549,Ogive,NOSE_CONE,0.12446,0.030988,0.02032,0.028956,1,ogive,Balsa,0.007087381
Semroc,BC-11554,Ogive,NOSE_CONE,0.13716,0.030988,0.02032,0.028956,1,ogive,Balsa,0.007654371
Semroc,BC-11560,Ogive,NOSE_CONE,0.1524,0.030988,0.02032,0.028956,1,ogive,Balsa,0.007937866
Semroc,BC-12525,Ogive,NOSE_CONE,0.0635,0.034036,0.02032,0.03175,1,ogive,Balsa,0.004252428
Semroc,BC-12536,Bezier,NOSE_CONE,0.09144,0.034036,0.02032,0.028956,1,elliptical,Balsa,0.0059534
Semroc,BC-12545,Elliptical,NOSE_CONE,0.1143,0.034036,0.02032,0.028956,1,elliptical,Balsa,0.006803886
Semroc,BC-12548,Ogive,NOSE_CONE,0.12192,0.034036,0.02032,0.028956,1,ogive,Balsa,0.007087381
Semroc,BC-12555,Ogive,NOSE_CONE,0.1397,0.034036,0.02032,0.028956,1,ogive,Balsa,0.009638838
Semroc,BC-12561,Ogive,NOSE_CONE,0.15494,0.034036,0.02032,0.028956,1,ogive,Balsa,0.010489324
Semroc,BC-1319,Elliptical,NOSE_CONE,0.04826,0.034036,0.0127,0.03302,1,elliptical,Balsa,0.005102914
Semroc,BC-1321,Bezier,NOSE_CONE,0.05334,0.034036,0.0127,0.03302,1,ogive,Balsa,0.005386409
Semroc,BC-1327,Bezier,NOSE_CONE,0.06858,0.034036,0.0127,0.03302,1,ogive,Balsa,0.0059534
Semroc,BC-1329,Rounded-Ogive,NOSE_CONE,0.07366,0.034036,0.0127,0.03302,1,ogive,Balsa,0.006803886
Semroc,BC-1330,Ogive,NOSE_CONE,0.0762,0.034036,0.0127,0.03302,1,ogive,Balsa,0.007087381
Semroc,BC-1331,Elliptical,NOSE_CONE,0.07874,0.034036,0.0127,0.03302,1,elliptical,Balsa,0.007654371
Semroc,BC-1336,Ogive,NOSE_CONE,0.09144,0.034036,0.0127,0.03302,1,ogive,Balsa,0.007937866
Semroc,BC-1339,Rounded-Ogive,NOSE_CONE,0.09906,0.034036,0.0127,0.03302,1,ogive,Balsa,0.008504857
Semroc,BC-1344,Ogive,NOSE_CONE,0.11176,0.034036,0.0127,0.03302,1,ogive,Balsa,0.009071847
Semroc,BC-1345,Elliptical,NOSE_CONE,0.11176,0.034036,0.0127,0.03302,1,elliptical,Balsa,0.009071847
Semroc,BC-1353,Secant Ogive,NOSE_CONE,0.136398,0.034036,0.0127,0.03302,1,ogive,Balsa,0.013891266
Semroc,BC-1353F,Ogive,NOSE_CONE,0.13462,0.034036,0.0127,0.03302,1,ogive,Balsa,0.013324276
Semroc,BC-1354,Ogive,NOSE_CONE,0.13716,0.034036,0.0127,0.03302,1,ogive,Balsa,0.015592238
Semroc,BC-1354C,Parabolic,NOSE_CONE,0.13716,0.034036,0.0127,0.03302,1,parabolic,Balsa,0.016442723
Semroc,BC-1364,Rounded-Ogive,NOSE_CONE,0.16256,0.034036,0.0127,0.03302,1,ogive,Balsa,0.017576704
Semroc,BC-15044,Conical,NOSE_CONE,0.11176,0.040386,0.02032,0.0381,1,cone,Balsa,0.007087381
Semroc,BC-15066,Ogive,NOSE_CONE,0.16764,0.040386,0.02032,0.0381,1,ogive,Balsa,0.009922333
Semroc,BC-15070,Ogive,NOSE_CONE,0.1778,0.040386,0.02032,0.0381,1,ogive,Balsa,0.011056314
Semroc,BC-15080,Ogive,NOSE_CONE,0.2032,0.040386,0.02032,0.0381,1,ogive,Balsa,0.012757285
Semroc,BC-15081,Rounded Ogive,NOSE_CONE,0.20574,0.040386,0.02032,0.0381,1,elliptical,Balsa,0.012190295
Semroc,BC-16100,Conical,NOSE_CONE,0.254,0.041656,0.0127,0.04064,1,cone,Balsa,0.012927383
Semroc,BC-1625,Elliptical,NOSE_CONE,0.0635,0.041656,0.0127,0.04064,1,elliptical,Balsa,0.005669905
Semroc,BC-1625P,Bezier,NOSE_CONE,0.0635,0.041656,0.0127,0.04064,1,ogive,Balsa,0.005669905
Semroc,BC-1631,Ogive,NOSE_CONE,0.07874,0.041656,0.0127,0.04064,1,ogive,Balsa,0.008504857
Semroc,BC-1634,Rounded-Ogive,NOSE_CONE,0.08636,0.041656,0.0127,0.04064,1,elliptical,Balsa,0.008788352
Semroc,BC-1636,Bezier,NOSE_CONE,0.09144,0.041656,0.0127,0.04064,1,ogive,Balsa,0.009922333
Semroc,BC-1646,Ogive,NOSE_CONE,0.11684,0.041656,0.0127,0.04064,1,ogive,Balsa,0.011056314
Semroc,BC-1647,Ogive,NOSE_CONE,0.11938,0.041656,0.0127,0.04064,1,ogive,Balsa,0.011339809
Semroc,BC-1648,Ogive,NOSE_CONE,0.12192,0.041656,0.0127,0.04064,1,ogive,Balsa,0.011623304
Semroc,BC-1650,Parabolic,NOSE_CONE,0.127,0.041656,0.0127,0.04064,1,parabolic,Balsa,0.012190295
Semroc,BC-1655,Ogive,NOSE_CONE,0.1397,0.041656,0.0127,0.04064,1,ogive,Balsa,0.013040781
Semroc,BC-1660,Ogive,NOSE_CONE,0.1524,0.041656,0.0127,0.04064,1,ogive,Balsa,0.013607771
Semroc,BC-1667,Parabolic,NOSE_CONE,0.17018,0.041656,0.0127,0.04064,1,parabolic,Balsa,0.014458257
Semroc,BC-1672,Conical-Ogive,NOSE_CONE,0.18288,0.041656,0.0127,0.04064,1,ogive,Balsa,0.016442723
Semroc,BC-1674,Ogive,NOSE_CONE,0.18796,0.041656,0.0127,0.04064,1,ogive,Balsa,0.017576704
Semroc,BC-17535,Ogive,NOSE_CONE,0.0889,0.046736,0.02032,0.04445,1,ogive,Balsa,0.013607771
Semroc,BC-17541,Ogive,NOSE_CONE,0.10414,0.046736,0.02032,0.04445,1,ogive,Balsa,0.015025247
Semroc,BC-17560,Ogive,NOSE_CONE,0.1524,0.046736,0.02032,0.04445,1,ogive,Balsa,0.019561171
Semroc,BC-17561,Elliptical,NOSE_CONE,0.15494,0.046736,0.02032,0.04445,1,elliptical,Balsa,0.020411657
Semroc,BC-17567,Bezier,NOSE_CONE,0.17018,0.046736,0.02032,0.04445,1,elliptical,Balsa,0.021545638
Semroc,BC-17585,Ogive,NOSE_CONE,0.2159,0.046736,0.02032,0.04445,1,ogive,Balsa,0.026081561
Semroc,BC-17590,Conical,NOSE_CONE,0.2286,0.046736,0.02032,0.04445,1,cone,Balsa,0.032034961
Semroc,BC-17592,Ogive,NOSE_CONE,0.23368,0.046736,0.02032,0.04445,1,ogive,Balsa,0.053580599
Semroc,BC-1828,Elliptical,NOSE_CONE,0.07112,0.046736,0.01778,0.04572,1,elliptical,Balsa,0.019844666
Semroc,BC-1835,Elliptical,NOSE_CONE,0.0889,0.046736,0.01778,0.04572,1,elliptical,Balsa,0.028349523
Semroc,BC-1837,Bezier,NOSE_CONE,0.09398,0.046736,0.01778,0.04572,1,elliptical,Balsa,0.028349523
Semroc,BC-1842,Elliptical,NOSE_CONE,0.10668,0.046736,0.01778,0.04572,1,elliptical,Balsa,0.028349523
Semroc,BC-1853,Ogive,NOSE_CONE,0.13462,0.046736,0.01778,0.04572,1,ogive,Balsa,0.01842719
Semroc,BC-1856,Ogive,NOSE_CONE,0.14224,0.046736,0.01778,0.04572,1,ogive,Balsa,0.031184475
Semroc,BC-1861,Elliptical,NOSE_CONE,0.15494,0.046736,0.01778,0.04572,1,elliptical,Balsa,0.034019428
Semroc,BC-1869,Ogive,NOSE_CONE,0.17526,0.046736,0.01778,0.04572,1,ogive,Balsa,0.034019428
Semroc,BC-1869C,Conical,NOSE_CONE,0.17526,0.046736,0.01778,0.04572,1,cone,Balsa,0.034019428
Semroc,BC-20045,Elliptical,NOSE_CONE,0.1143,0.051816,0.02032,0.0508,1,elliptical,Balsa,0.0178602
Semroc,BC-20107,Conical,NOSE_CONE,0.27178,0.051816,0.01778,0.0508,1,cone,Balsa,0.050462151
Semroc,BC-2025,Elliptical,NOSE_CONE,0.0635,0.051816,0.01778,0.0508,1,elliptical,Balsa,0.0119068
Semroc,BC-2026,Bezier,NOSE_CONE,0.06604,0.051816,0.01778,0.0508,1,elliptical,Balsa,0.012190295
Semroc,BC-2033,Elliptical,NOSE_CONE,0.08382,0.051816,0.01778,0.0508,1,elliptical,Balsa,0.017293209
Semroc,BC-2039,Bezier,NOSE_CONE,0.09906,0.051816,0.01778,0.0508,1,elliptical,Balsa,0.019561171
Semroc,BC-2045,Ogive,NOSE_CONE,0.1143,0.051816,0.01778,0.0508,1,ogive,Balsa,0.043658266
Semroc,BC-2050,Conical,NOSE_CONE,0.127,0.051816,0.01778,0.0508,1,cone,Balsa,0.038555352
Semroc,BC-2057,Ogive,NOSE_CONE,0.14478,0.051816,0.01778,0.0508,1,ogive,Balsa,0.047627199
Semroc,BC-2065,Ogive,NOSE_CONE,0.1651,0.051816,0.01778,0.0508,1,ogive,Balsa,0.050178656
Semroc,BC-2080,Elliptical,NOSE_CONE,0.2032,0.051816,0.01778,0.0508,1,elliptical,Balsa,0.055848561
Semroc,BC-225103,Fat Ogive,NOSE_CONE,0.26162,0.059436,0.02032,0.05715,1,ogive,Balsa,0.082213617
Semroc,BC-22530,Bezier,NOSE_CONE,0.0762,0.059436,0.02032,0.05715,1,elliptical,Balsa,0.025514571
Semroc,BC-22545,Elliptical,NOSE_CONE,0.1143,0.059436,0.02032,0.05715,1,elliptical,Balsa,0.029766999
Semroc,BC-22563,Bezier,NOSE_CONE,0.16002,0.059436,0.02032,0.05715,1,elliptical,Balsa,0.041957294
Semroc,BC-22567,Bezier,NOSE_CONE,0.17018,0.059436,0.02032,0.05715,1,elliptical,Balsa,0.043941761
Semroc,BC-22567E,Ogive,NOSE_CONE,0.17018,0.059436,0.02032,0.05715,1,ogive,Balsa,0.04280778
Semroc,BC-22569,Ogive,NOSE_CONE,0.17526,0.059436,0.02032,0.05715,1,ogive,Balsa,0.047343704
Semroc,BC-22578,Elliptical,NOSE_CONE,0.19812,0.059436,0.02032,0.05715,1,elliptical,Balsa,0.051029142
Semroc,BC-22579,Ogive,NOSE_CONE,0.20066,0.059436,0.02032,0.05715,1,ogive,Balsa,0.048194189
Semroc,BC-22588,Elliptical,NOSE_CONE,0.22352,0.059436,0.02032,0.05715,1,elliptical,Balsa,0.062368951
Semroc,BC-22595,Secant-Ogive,NOSE_CONE,0.2413,0.059436,0.02032,0.05715,1,Sears-haack,Balsa,0.070873808
Semroc,BC-22597,Ogive,NOSE_CONE,0.24638,0.059436,0.02032,0.05715,1,ogive,Balsa,0.07370876
Semroc,BC-27540,Blunt Ogive,NOSE_CONE,0.1016,0.072136,0.02032,0.06985,1,elliptical,Balsa,0.034869913
Semroc,BC-27554,Ogive,NOSE_CONE,0.13716,0.072136,0.02032,0.06985,1,ogive,Balsa,0.043941761
Semroc,BC-27555,Bezier,NOSE_CONE,0.1397,0.072136,0.02032,0.06985,1,elliptical,Balsa,0.045642732
Semroc,BC-505,Spherical,NOSE_CONE,0.0127,0.0137922,0.01016,0.013081,1,elliptical,Balsa,0.00056699
Semroc,BC-508,Elliptical,NOSE_CONE,0.02032,0.0137922,0.01016,0.013081,1,elliptical,Balsa,0.00056699
Semroc,BC-510,Conical,NOSE_CONE,0.0254,0.0137922,0.01016,0.013081,1,cone,Balsa,0.005669905
Semroc,BC-510P,Elliptical,NOSE_CONE,0.0254,0.0137922,0.01016,0.013081,1,elliptical,Balsa,0.00056699
Semroc,BC-512,Ogive,NOSE_CONE,0.03048,0.0137922,0.01016,0.013081,1,ogive,Balsa,0.00056699
Semroc,BC-514,Ogive,NOSE_CONE,0.03556,0.0137922,0.01016,0.013081,1,ogive,Balsa,0.000850486
Semroc,BC-515,Conical,NOSE_CONE,0.0381,0.0137922,0.01016,0.013081,1,cone,Balsa,0.000850486
Semroc,BC-515E,Ogive,NOSE_CONE,0.0381,0.0137922,0.01016,0.013081,1,ogive,Balsa,0.000850486
Semroc,BC-516,Conical,NOSE_CONE,0.04064,0.0137922,0.01016,0.013081,1,cone,Balsa,0.000850486
Semroc,BC-517,Ogive,NOSE_CONE,0.04318,0.0137922,0.01016,0.013081,1,ogive,Balsa,0.000850486
Semroc,BC-518,Ogive,NOSE_CONE,0.04572,0.0137922,0.01016,0.013081,1,ogive,Balsa,0.000850486
Semroc,BC-522,Elliptical,NOSE_CONE,0.05588,0.0137922,0.01016,0.013081,1,elliptical,Balsa,0.001133981
Semroc,BC-522P,Ogive,NOSE_CONE,0.05588,0.0137922,0.01016,0.013081,1,ogive,Balsa,0.001133981
Semroc,BC-523,Taper-Conical,NOSE_CONE,0.05842,0.0137922,0.01016,0.013081,1,Power-series,Balsa,0.001700971
Semroc,BC-524,Ogive,NOSE_CONE,0.06096,0.0137922,0.01016,0.013081,1,ogive,Balsa,0.001133981
Semroc,BC-526,Conical,NOSE_CONE,0.06604,0.0137922,0.01016,0.013081,1,cone,Balsa,0.000850486
Semroc,BC-528,Conical,NOSE_CONE,0.07112,0.0137922,0.01016,0.013081,1,cone,Balsa,0.000850486
Semroc,BC-529,Ogive,NOSE_CONE,0.07366,0.0137922,0.01016,0.013081,1,ogive,Balsa,0.001133981
Semroc,BC-708,Conical,NOSE_CONE,0.02032,0.0192786,0.0127,0.018161,1,cone,Balsa,0.005669905
Semroc,BC-710,Conical,NOSE_CONE,0.0254,0.0192786,0.0127,0.018161,1,cone,Balsa,0.000850486
Semroc,BC-711,Conical,NOSE_CONE,0.02794,0.0192786,0.0127,0.018161,1,cone,Balsa,0.000850486
Semroc,BC-714,Ogive,NOSE_CONE,0.03556,0.0192786,0.0127,0.018161,1,ogive,Balsa,0.001133981
Semroc,BC-715,Rounded Ogive,NOSE_CONE,0.0381,0.0192786,0.0127,0.018161,1,elliptical,Balsa,0.001133981
Semroc,BC-716,Elliptical,NOSE_CONE,0.04064,0.0192786,0.0127,0.018161,1,elliptical,Balsa,0.001133981
Semroc,BC-719,Ogive,NOSE_CONE,0.04826,0.0192786,0.0127,0.018161,1,ogive,Balsa,0.001133981
