Manufacturer,PartNo,Description,Type,ForeShoulderLength,ForeShoulderDiameter,ForeOuterDiameter,Length,OuterDiameter,ShoulderLength,ShoulderDiameter,Filled,Material,Mass,Shape
Semroc,BR-085225,Balsa Reducer 085 to 225,TRANSITION,0.0127,0.021971,0.024003,0.0635,0.059436,0.0127,0.05715,1,Balsa,0.022113,cone
Semroc,BR-085225 [R],Balsa Reducer 085 to 225 – Reversed,TRANSITION,0.0127,0.05715,0.059436,0.0635,0.024003,0.0127,0.021971,1,Balsa,0.022113,cone
Semroc,BR-1013,Balsa Reducer 10 to 13,TRANSITION,0.0127,0.0254,0.026416,0.01905,0.034036,0.0127,0.03302,1,Balsa,0.005103,cone
Semroc,BR-1013 [R],Balsa Reducer 10 to 13 – Reversed,TRANSITION,0.0127,0.03302,0.034036,0.01905,0.026416,0.0127,0.0254,1,Balsa,0.005103,cone
Semroc,BR-1016,Balsa Reducer 10 to 16,TRANSITION,0.0127,0.0254,0.026416,0.0381,0.041656,0.0127,0.04064,1,Balsa,0.009072,cone
Semroc,BR-1016 [R],Balsa Reducer 10 to 16 – Reversed,TRANSITION,0.0127,0.04064,0.041656,0.0381,0.026416,0.0127,0.0254,1,Balsa,0.009072,cone
Semroc,BR-1016S,Balsa Reducer 10 to 16,TRANSITION,0.0127,0.0254,0.026416,0.03048,0.041656,0.0127,0.04064,1,Balsa,0.0082215,cone
Semroc,BR-1016S [R],Balsa Reducer 10 to 16 – Reversed,TRANSITION,0.0127,0.04064,0.041656,0.03048,0.026416,0.0127,0.0254,1,Balsa,0.0082215,cone
Semroc,BR-1116,Balsa Reducer 11 to 16,TRANSITION,0.0127,0.028702,0.029718,0.0381,0.041656,0.0127,0.04064,1,Balsa,0.0093555,cone
Semroc,BR-1116 [R],Balsa Reducer 11 to 16 – Reversed,TRANSITION,0.0127,0.04064,0.041656,0.0381,0.029718,0.0127,0.028702,1,Balsa,0.0093555,cone
Semroc,BR-1118,Balsa Reducer 11 to 18,TRANSITION,0.0127,0.028702,0.029718,0.0381,0.046736,0.0127,0.04572,1,Balsa,0.010206,cone
Semroc,BR-1118 [R],Balsa Reducer 11 to 18 – Reversed,TRANSITION,0.0127,0.04572,0.046736,0.0381,0.029718,0.0127,0.028702,1,Balsa,0.010206,cone
Semroc,BR-11516,Balsa Reducer 115 to 16,TRANSITION,0.0127,0.028956,0.030988,0.085725,0.041656,0.0127,0.04064,1,Balsa,0.0297675,cone
Semroc,BR-11516 [R],Balsa Reducer 115 to 16 – Reversed,TRANSITION,0.0127,0.04064,0.041656,0.085725,0.030988,0.0127,0.028956,1,Balsa,0.0297675,cone
Semroc,BR-11518,Balsa Reducer 115 to 18,TRANSITION,0.0127,0.028956,0.030988,0.085725,0.046736,0.0127,0.04572,1,Balsa,0.031185,cone
Semroc,BR-11518 [R],Balsa Reducer 115 to 18 – Reversed,TRANSITION,0.0127,0.04572,0.046736,0.085725,0.030988,0.0127,0.028956,1,Balsa,0.031185,cone
Semroc,BR-125-175,Balsa Reducer 125 to 175,TRANSITION,0.0127,0.03175,0.034036,0.05334,0.046736,0.0127,0.04445,1,Balsa,0.014175,cone
Semroc,BR-125-175 [R],Balsa Reducer 125 to 175 – Reversed,TRANSITION,0.0127,0.04445,0.046736,0.05334,0.034036,0.0127,0.03175,1,Balsa,0.014175,cone
Semroc,BR-125-175L,Balsa Reducer 125 to 175,TRANSITION,0.0127,0.03175,0.034036,0.07112,0.046736,0.0127,0.04445,1,Balsa,0.0184275,cone
Semroc,BR-125-175L [R],Balsa Reducer 125 to 175 – Reversed,TRANSITION,0.0127,0.04445,0.046736,0.07112,0.034036,0.0127,0.03175,1,Balsa,0.0184275,cone
Semroc,BR-125-225,Balsa Reducer 125 to 225,TRANSITION,0.0127,0.03175,0.034036,0.07112,0.059436,0.0127,0.05715,1,Balsa,0.01701,cone
Semroc,BR-125-225 [R],Balsa Reducer 125 to 225 – Reversed,TRANSITION,0.0127,0.05715,0.059436,0.07112,0.034036,0.0127,0.03175,1,Balsa,0.01701,cone
Semroc,BR-1316,Balsa Reducer 13 to 16,TRANSITION,0.0127,0.03302,0.034036,0.01905,0.041656,0.0127,0.04064,1,Balsa,0.006804,cone
Semroc,BR-1316 [R],Balsa Reducer 13 to 16 – Reversed,TRANSITION,0.0127,0.04064,0.041656,0.01905,0.034036,0.0127,0.03302,1,Balsa,0.006804,cone
Semroc,BR-1316F,Balsa Reducer 13 to 16,TRANSITION,0.0127,0.03302,0.034036,0.04445,0.041656,0.0127,0.04064,1,Balsa,0.010206,cone
Semroc,BR-1316F [R],Balsa Reducer 13 to 16 – Reversed,TRANSITION,0.0127,0.04064,0.041656,0.04445,0.034036,0.0127,0.03302,1,Balsa,0.010206,cone
