Mfg.,Part No.,Desc.,Units,ID,OD,Length,Material,Engine,Mass Units,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass
Estes,EST 3084,BT-5 Body Tube/18in,in,0.515,0.541,18,Paper,,g,0,,,,,,,,,,,,,,,,,,,
Estes,EST 3085,BT-20 Body Tube/18in,in,0.71,0.736,18,Paper,,g,0,,,,,,,,,,,,,,,,,,,
Estes,EST 30338,BT-30 Body Tube/9in,in,0.725,0.765,9,Paper,,g,0,,,,,,,,,,,,,,,,,,,
Estes,EST 30351,BT-48BE Body Tube/2.5in,in,0.902,0.928,2.5,Paper,,g,0,,,,,,,,,,,,,,,,,,,
Estes,EST 3086,BT-50 Body Tube/18in,in,0.95,0.976,18,Paper,,g,0,,,,,,,,,,,,,,,,,,,
Estes,EST 30376,BT-51N Body Tube/12.42in,in,0.984,1.011,12.42,Paper,,g,0,,,,,,,,,,,,,,,,,,,
Estes,EST 30380,BT-52S Body Tube/3.938in,in,0.988,1.114,3.938,Paper,,g,0,,,,,,,,,,,,,,,,,,,
Estes,EST 3087,BT-55 Body Tube/18in,in,1.283,1.325,18,Paper,,g,0,,,,,,,,,,,,,,,,,,,
Estes,EST 3088,BT-56 Body Tube/18in,in,1.304,1.346,18,Paper,,g,0,,,,,,,,,,,,,,,,,,,
Estes,EST 30394,BT-58 Body Tube/12.75in,in,1.498,1.54,12.75,Paper,,g,0,,,,,,,,,,,,,,,,,,,
Estes,EST 3089,BT-60 Body Tube/18in,in,1.595,1.637,18,Paper,,g,0,,,,,,,,,,,,,,,,,,,
Estes,EST 30420,BT-63CJ Body Tube/3in,in,1.639,1.681,3,Paper,,g,0,,,,,,,,,,,,,,,,,,,
Estes,EST 30424,BT-70 Body Tube/17.5in,in,2.18,2.217,17.5,Paper,,g,0,,,,,,,,,,,,,,,,,,,
Estes,EST 3090,BT-80 Body Tube/14.25in,in,2.588,2.6,14.25,Paper,,g,0,,,,,,,,,,,,,,,,,,,
Estes,EST 30174,RT-99D Body Tube/.391in,in,3.668,3.79,0.391,Paper,,g,0,,,,,,,,,,,,,,,,,,,
Estes,EST 30436,BT-100Z Body Tube/10.89in,in,3.702,3.744,10.89,Paper,,g,0,,,,,,,,,,,,,,,,,,,
Estes,EST 30449,BT-101SV Body Tube/24.7in,in,3.896,3.938,24.7,Paper,,g,0,,,,,,,,,,,,,,,,,,,
