Mfg.,Part no,Desc,Units,Name,Type,Length,Material,Mass units,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass
Giant Leap,LG-Fireball,Large Fireball,mm,Mass object,general,7620.,1 in. tubular nylon,g,130.40780000000001,,,,,,,,,
Giant Leap,Shockloop,9-16in 12ft Nylon Loop,mm,Mass object,shockcord,3657.6000000000004,9/16 In. tubular nylon,g,0.,,,,,,,,,
Giant Leap,Shockloop-1-15,1in 15ft Nylon Loop,mm,Mass object,shockcord,4572.,1 in. tubular nylon,g,0.,,,,,,,,,
Giant Leap,Shockloop-1-20,1in 20ft Nylon Loop,mm,Mass object,shockcord,6096.,1 in. tubular nylon,g,0.,,,,,,,,,
Giant Leap,Shockloop-1-25,1in 25ft Nylon Loop,mm,Mass object,shockcord,7620.,1 in. tubular nylon,g,0.,,,,,,,,,
Giant Leap,Shockloop-1/2-15,1/2in 15ft Kevlar Loop,mm,Mass object,shockcord,4572.,1/2 in. tubular kevlar,g,0.,,,,,,,,,
Giant Leap,Shockloop-1/2-20,1/2in 20ft Kevlar Loop,mm,Mass object,shockcord,6096.,1/2 in. tubular kevlar,g,0.,,,,,,,,,
Giant Leap,Shockloop-1/2-25,1/2in 25ft Kevlar Loop,mm,Mass object,shockcord,7620.,1/2 in. tubular kevlar,g,0.,,,,,,,,,
Giant Leap,Shockloop-1/4-15,1/4in 15ft Kevlar Loop,mm,Mass object,shockcord,4572.,1/4 in. tubular kevlar,g,0.,,,,,,,,,
Giant Leap,Shockloop-1/4-20,1/4in 20ft Kevlar Loop,mm,Mass object,shockcord,6096.,1/4 in. tubular kevlar,g,0.,,,,,,,,,
Giant Leap,Shockloop-916-12,9-16in 12ft Nylon Loop,mm,Mass object,shockcord,3657.6000000000004,9/16 In. tubular nylon,g,0.,,,,,,,,,
Giant Leap,Shockloop-916-15,9-16in 15ft Nylon Loop,mm,Mass object,shockcord,4572.,9/16 In. tubular nylon,g,0.,,,,,,,,,
Giant Leap,Shockloop-916-25,9-16in 25ft Nylon Loop,mm,Mass object,shockcord,7620.,9/16 In. tubular nylon,g,0.,,,,,,,,,
Giant Leap,SLIM38,Slimline 38mm Retainer,mm,Mass object,general,0.,,g,31.1845,,,,,,,,,
Giant Leap,SLIM38-29,Slimline 38-29mm Adapter,mm,Mass object,general,0.,,g,73.708799999999997,,,,,,,,,
Giant Leap,SLIM54,Slimline 54mm Retainer,mm,Mass object,general,0.,,g,42.524300000000004,,,,,,,,,
Giant Leap,SLIM54-38,Slimline 54-38mm Adapter,mm,Mass object,general,0.,,g,119.06800000000001,,,,,,,,,
Giant Leap,SLIM76,Slimline 76mm Retainer,mm,Mass object,general,0.,,g,99.223300000000009,,,,,,,,,
Giant Leap,SLIM76-54,Slimline 76-54mm Adapter,mm,Mass object,general,0.,,g,238.13600000000002,,,,,,,,,
Giant Leap,SLIM98,Slimline 98mm Retainer,mm,Mass object,general,0.,,g,107.7282,,,,,,,,,
Giant Leap,SLIM98-76,Slimline 98-76mm Adapter,mm,Mass object,general,0.,,g,518.79629999999997,,,,,,,,,
Giant Leap,SM-Fireball,Small Fireball,mm,Mass object,general,7620.,1 in. tubular nylon,g,56.699100000000001,,,,,,,,,
Giant Leap,TC54-38,Slimline 54-38mm Tailcone,mm,Mass object,general,7620.,1 in. tubular nylon,g,127.5729,,,,,,,,,
Giant Leap,TC76-38,Slimline 76-38mm Tailcone,mm,Mass object,general,7620.,1 in. tubular nylon,g,93.553400000000011,,,,,,,,,
Giant Leap,TC76-54,Slimline 76-54mm Tailcone,mm,Mass object,general,7620.,1 in. tubular nylon,g,127.5729,,,,,,,,,
Giant Leap,TC98-54,Slimline 98-54mm Tailcone,mm,Mass object,general,7620.,1 in. tubular nylon,g,144.58260000000001,,,,,,,,,
Giant Leap,TC98-76,Slimline 98-76mm Tailcone,mm,Mass object,general,7620.,1 in. tubular nylon,g,155.92240000000001,,,,,,,,,
Giant Leap,SLIM29,Slimline 29mm Retainer,mm,Mass object,general,0.,,g,14.174800000000001,,,,,,,,,
