Mfg.,Part no,Desc,Units,Name,Type,Length,Material,Mass units,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass,Mass
Public Missiles,PML UBLT,Ubolt for FNCs,in,6/7.5/11in. FNC Ubolt,general,0,,oz.,2.7,,,,,,,,,
Public Missiles,LilLunar nose,Bplate w/hdwe,in,Bulkplate with hardware  Little Lunar,general,0,,oz.,0.88,,,,,,,,,
Public Missiles,PML 24in.,chute-T&L booster,in,Mass object,general,0,,oz.,1.6,,,,,,,,,
Public Missiles,PML CPR 2.1 system,CPR2000,in,PML 2.1 CPR2k system,general,0,,oz.,8.2,,,,,,,,,
Public Missiles,PML CPR 2.5 system,CPR2000,in,PML 2.5 CPR2k system,general,0,,oz.,8.4,,,,,,,,,
Public Missiles,PML CPR 3.0 system,CPR2000,in,PML 3.0 CPR2k system,general,0,,oz.,8.6,,,,,,,,,
Public Missiles,PML CPR 3.9 system,CPR2000,in,PML 3.9 CPR2k system,general,0,,oz.,9.3,,,,,,,,,
Public Missiles,STRACPR,Stratus CPR parts,in,Mass object,general,0,,oz.,6.1,,,,,,,,,
Public Missiles,PML PS-1.52,Piston assy,in.,Piston assy,general,,,oz.,1.9,,,,,,,,,
Public Missiles,PML PS-2.15,Piston assy,in.,Piston assy,general,,,oz.,2.9,,,,,,,,,
Public Missiles,PML PS-2.56,Piston assy,in.,Piston assy,general,,,oz.,3,,,,,,,,,
Public Missiles,PML PS-3.00,Piston assy,in.,Piston assy,general,,,oz.,3.3,,,,,,,,,
Public Missiles,PML PS-3.90,Piston assy,in.,Piston assy,general,,,oz.,4.1,,,,,,,,,
Public Missiles,PML PS-6.00,Piston assy,in.,Piston assy,general,,,oz.,8.1,,,,,,,,,
Public Missiles,PML PS-7.51,Piston assy,in.,Piston assy,general,,,oz.,12,,,,,,,,,
Public Missiles,PML KL-01,Small KwikLink,,KwikLink small,general,,Steel,oz.,0.2
Public Missiles,PML KL-02,Large KwikLink,,KwikLink large,general,,Steel,oz.,0.8
Public Missiles,PML EB-01,1/8x24 eyebolt,,Eye Bolt,general,,Steel,oz.,0.2
Public Missiles,PML NT-01,1/8x24 nut,,Nut,general,,Steel,oz.,0.1
Public Missiles,PML,Eyblt/wshr/2nuts,in,PML eyebolt  washer  2 nuts,general,0,Steel,oz.,0.5
Public Missiles,PML WA-01,eyebolt washer,,Washer,general,,Steel,oz.,0.2
Public Missiles,PML DR-10,D ring,,D-ring,general,,Nylon,oz.,0.1
Public Missiles,PML 98/54 KS-KIT,98 to 54mm MMT adapter,in.,98/54 KwikSwitch,,36,Kraft phenolic,oz.,26.7
Public Missiles,PML P5,Altimeter,in.,Altimeter,general,3,Kraft phenolic,oz.,4
Public Missiles,PML EC-LES,Ejection canister,,Ejection canister,,2,Aluminum,oz.,
Public Missiles,PML ECH-01,Ejection canister holder,,Ejection canister holder,,,Urethane,oz.,
Public Missiles,PML AG1-B,Single flashbulb,,Single flashbulb,,,Glass,oz.,0.1
Public Missiles,PML CBA-1.52,Coupler/bulkhead assy.,in.,Coupler/bulkhead assy.,general,3,,oz.,0.75
Public Missiles,PML CBA-2.15,Coupler/bulkhead assy.,in.,Coupler/bulkhead assy.,general,4,,oz.,1.5
Public Missiles,PML CBA-2.56,Coupler/bulkhead assy.,in.,Coupler/bulkhead assy.,general,5,,oz.,2
Public Missiles,PML CBA-3.00,Coupler/bulkhead assy.,in.,Coupler/bulkhead assy.,general,5,,oz.,2.4
Public Missiles,PML CBA-3.90,Coupler/bulkhead assy.,in.,Coupler/bulkhead assy.,general,7,,oz.,4
Public Missiles,PML CBA-6.00,Coupler/bulkhead assy.,in.,Coupler/bulkhead assy.,general,12,,oz.,9.4
Public Missiles,PML CBA-7.51,Coupler/bulkhead assy.,in.,Coupler/bulkhead assy.,general,12,,oz.,20.8
Public Missiles,PML CBA-11.4,Coupler/bulkhead assy.,in.,Coupler/bulkhead assy.,general,16,,oz.,43.7
Public Missiles,PML PSK-01,Payload section kit,in.,Payload section kit,general,9,,oz.,2.4
