Mfg.,Part No.,Desc.,Units,ID,OD,Length,Material,Engine,Mass Units,Mass
SEMROC Astronautics,BT-100CE,Classic Body Tube BT-100,in,3.702,3.744,3.5,Spiral/Glassine,,oz,0.43
SEMROC Astronautics,BT-100D,Classic Body Tube BT-100,in,3.702,3.744,4.09,Spiral/Glassine,,oz,0.5
SEMROC Astronautics,BT-100Z,Classic Body Tube BT-100,in,3.702,3.744,10.89,Spiral/Glassine,,oz,1.34
SEMROC Astronautics,BT-101,Classic Body Tube BT-101,in,3.896,3.938,16.5,Spiral/Glassine,,oz,1.97
SEMROC Astronautics,BT-101K,Classic Body Tube BT-101,in,3.896,3.938,7.59,Spiral/Glassine,,oz,0.91
SEMROC Astronautics,BT-101LA,Classic Body Tube BT-101,in,3.896,3.938,21.4,Spiral/Glassine,,oz,2.56
SEMROC Astronautics,BT-101SV,Classic Body Tube BT-101,in,3.896,3.938,24.63,Spiral/Glassine,,oz,2.95
SEMROC Astronautics,BT-101T,Classic Body Tube BT-101,in,3.896,3.938,2.78,Spiral/Glassine,,oz,0.36
SEMROC Astronautics,BT-20,Classic Body Tube BT-20,in,0.71,0.736,18,Spiral/Glassine,,oz,0.27
SEMROC Astronautics,BT-20AE,Classic Body Tube BT-20,in,0.71,0.736,1.5,Spiral/Glassine,,oz,0.02
SEMROC Astronautics,BT-20B,Classic Body Tube BT-20,in,0.71,0.736,8.65,Spiral/Glassine,,oz,0.13
SEMROC Astronautics,BT-20D,Classic Body Tube BT-20,in,0.71,0.736,6.5,Spiral/Glassine,,oz,0.1
SEMROC Astronautics,BT-20DJ,Classic Body Tube BT-20,in,0.71,0.736,4,Spiral/Glassine,,oz,0.06
SEMROC Astronautics,BT-20G,Classic Body Tube BT-20,in,0.71,0.736,3.5,Spiral/Glassine,,oz,0.05
SEMROC Astronautics,BT-20J,Classic Body Tube BT-20,in,0.71,0.736,2.75,Spiral/Glassine,,oz,0.04
SEMROC Astronautics,BT-20L,Classic Body Tube BT-20,in,0.71,0.736,12,Spiral/Glassine,,oz,0.18
SEMROC Astronautics,BT-20M,Classic Body Tube BT-20,in,0.71,0.736,2.25,Spiral/Glassine,,oz,0.03
SEMROC Astronautics,BT-3,Classic Body Tube BT-3,in,0.345,0.375,18,Spiral/Glassine,,oz,0.13
SEMROC Astronautics,BT-30,Classic Body Tube BT-30,in,0.725,0.765,9,Spiral/Glassine,,oz,0.22
SEMROC Astronautics,BT-30-180,Classic Body Tube BT-30,in,0.725,0.765,18,Spiral/Glassine,,oz,0.44
SEMROC Astronautics,BT-30A,Classic Body Tube BT-30,in,0.725,0.765,3.5,Spiral/Glassine,,oz,0.09
SEMROC Astronautics,BT-30B,Classic Body Tube BT-30,in,0.725,0.765,6.13,Spiral/Glassine,,oz,0.15
SEMROC Astronautics,BT-30C,Classic Body Tube BT-30,in,0.725,0.765,5.5,Spiral/Glassine,,oz,0.13
SEMROC Astronautics,BT-30F,Classic Body Tube BT-30,in,0.725,0.765,7,Spiral/Glassine,,oz,0.17
SEMROC Astronautics,BT-30J,Classic Body Tube BT-30,in,0.725,0.765,2.75,Spiral/Glassine,,oz,0.07
SEMROC Astronautics,BT-30K,Classic Body Tube BT-30,in,0.725,0.765,2.34,Spiral/Glassine,,oz,0.06
SEMROC Astronautics,BT-30XW,Classic Body Tube BT-30,in,0.725,0.765,3,Spiral/Glassine,,oz,0.07
SEMROC Astronautics,BT-3H,Classic Body Tube BT-3,in,0.345,0.375,3,Spiral/Glassine,,oz,0.02
SEMROC Astronautics,BT-3XW,Classic Body Tube BT-3,in,0.345,0.375,1.5,Spiral/Glassine,,oz,0.01
SEMROC Astronautics,BT-40,Classic Body Tube BT-40,in,0.765,0.825,13.75,Spiral/Glassine,,oz,0.04
SEMROC Astronautics,BT-40-185,Classic Body Tube BT-40,in,0.765,0.825,18.5,Spiral/Glassine,,oz,0.06
SEMROC Astronautics,BT-40W,Classic Body Tube BT-40,in,0.765,0.825,9.25,Spiral/Glassine,,oz,0.03
SEMROC Astronautics,BT-5,Classic Body Tube BT-5,in,0.515,0.541,18,Spiral/Glassine,,oz,0.22
SEMROC Astronautics,BT-50,Classic Body Tube BT-50,in,0.95,0.976,18,Spiral/Glassine,,oz,0.35
SEMROC Astronautics,BT-50A,Classic Body Tube BT-50,in,0.95,0.976,10,Spiral/Glassine,,oz,0.2
SEMROC Astronautics,BT-50AE,Classic Body Tube BT-50,in,0.95,0.976,1.5,Spiral/Glassine,,oz,0.03
SEMROC Astronautics,BT-50AH,Classic Body Tube BT-50,in,0.95,0.976,1.88,Spiral/Glassine,,oz,0.04
