Mfg.,Part No.,Desc.,Units,ID,OD,Length,Material,Engine,Engine,Engine,Engine,Engine,Engine,Engine,Engine,Engine,Engine,Engine
Public Missiles,PML CR-00,1.5>29mm,in.,1.269,1.525,0.1875,Aircraft plywood (Birch),29mm,,,,,,,,,,
Public Missiles,PML CR-01,2.1>29mm,in.,1.269,2.152,0.1875,Aircraft plywood (Birch),29mm,,,,,,,,,,
Public Missiles,PML CR-02,2.1>38mm,in.,1.649,2.152,0.1875,Aircraft plywood (Birch),38mm,,,,,,,,,,
Public Missiles,PML CR-06,2.5>29mm,in.,1.269,2.56,0.1875,Aircraft plywood (Birch),29mm,,,,,,,,,,
Public Missiles,PML CR-07,2.5>38mm,in.,1.649,2.56,0.1875,Aircraft plywood (Birch),38mm,,,,,,,,,,
Public Missiles,PML CR-08,2.5>54mm,in.,2.276,2.56,0.1875,Aircraft plywood (Birch),KS2000,,,,,,,,,,
Public Missiles,PML CR-09,3.0>29mm,in.,1.269,3.002,0.1875,Aircraft plywood (Birch),29mm,,,,,,,,,,
Public Missiles,PML CR-10,3.0>38mm,in.,1.649,3.002,0.1875,Aircraft plywood (Birch),38mm,,,,,,,,,,
Public Missiles,PML CR-11,3.0>54mm,in.,2.276,3.002,0.1875,Aircraft plywood (Birch),KS2000,,,,,,,,,,
Public Missiles,PML CR-12,3.9>29mm,in.,1.269,3.9,0.1875,Aircraft plywood (Birch),29mm,,,,,,,,,,
Public Missiles,PML CR-13,3.9>38mm,in.,1.649,3.9,0.1875,Aircraft plywood (Birch),38mm,,,,,,,,,,
Public Missiles,PML CR-14,3.9>54mm,in.,2.276,3.9,0.1875,Aircraft plywood (Birch),KS2000,,,,,,,,,,
Public Missiles,PML CR-16,6.0>38mm,in.,1.649,6.007,0.5,Aircraft plywood (Birch),38mm,,,,,,,,,,
Public Missiles,PML CR-17,6.0>54mm,in.,2.276,6.007,0.5,Aircraft plywood (Birch),KS2000,,,,,,,,,,
Public Missiles,PML CR-18,6.0>98mm,in.,4.024,6.007,0.5,Aircraft plywood (Birch),GiantKS,,,,,,,,,,
Public Missiles,PML CR-20,7.5>54mm,in.,2.276,7.512,0.5,Aircraft plywood (Birch),KS2000
Public Missiles,PML CR-21,7.5>98mm,in.,4.024,7.512,0.5,Aircraft plywood (Birch),GiantKS
Public Missiles,PML CR-90,11.4>54mm,in.,2.276,11.41,0.5,Aircraft plywood (Birch),KS2000
Public Missiles,PML CR-91,11.4>98mm,in.,4.024,11.41,0.5,Aircraft plywood (Birch),GiantKS
Public Missiles,Eclipse B,Custom 38mm MMT rings,in,1.649,3.88,0.1875,Aircraft plywood (Birch),
Public Missiles,PML CR-92,11.4>76mm,in,3.126,11.390000000000001,0.5,Aircraft plywood (Birch)
