Mfg.,Part No.,Desc.,Units,Length,Outer Dia,L/D Ratio,Insert Length,Insert OD,Thickness,Shape,Config,Material,CG Loc,Mass Units,Mass,Base Ext. Len
SEMROC Astronautics,BC-08542,Ogive,in,4.200,0.940,0,0.500,0.850,0,ogive,0,Balsa,3.337,oz,0.150,0
SEMROC Astronautics,BC-1016,Ogive,in,1.600,1.040,0,0.500,1.000,0,ogive,0,Balsa,1.491,oz,0.120,0
SEMROC Astronautics,BC-1019,Ogive,in,1.900,1.040,0,0.500,1.000,0,ogive,0,Balsa,1.704,oz,0.130,0
SEMROC Astronautics,BC-1020E,Elliptical,in,2.000,1.040,0,0.500,1.000,0,elliptical,0,Balsa,1.775,oz,0.130,0
SEMROC Astronautics,BC-1022,Bezier,in,2.200,1.040,0,0.500,1.000,0,elliptical,0,Balsa,1.917,oz,0.150,0
SEMROC Astronautics,BC-1024,Ogive,in,2.400,1.040,0,0.500,1.000,0,ogive,0,Balsa,2.059,oz,0.150,0
SEMROC Astronautics,BC-1031,Bezier,in,3.100,1.040,0,0.500,1.000,0,elliptical,0,Balsa,2.556,oz,0.150,0
SEMROC Astronautics,BC-1032,Ogive,in,3.200,1.040,0,0.500,1.000,0,ogive,0,Balsa,2.627,oz,0.150,0
SEMROC Astronautics,BC-1037,Ogive,in,3.700,1.040,0,0.500,1.000,0,ogive,0,Balsa,2.982,oz,0.160,0
SEMROC Astronautics,BC-1039,Ogive,in,3.900,1.040,0,0.500,1.000,0,ogive,0,Balsa,3.124,oz,0.170,0
SEMROC Astronautics,BC-1041,Conical,in,4.100,1.040,0,0.500,1.000,0,cone,0,Balsa,3.266,oz,0.180,0
SEMROC Astronautics,BC-1041G,Bezier,in,4.100,1.040,0,0.500,1.000,0,elliptical,0,Balsa,3.266,oz,0.180,0
SEMROC Astronautics,BC-1041P,Bezier,in,4.100,1.040,0,0.500,1.000,0,elliptical,0,Balsa,3.266,oz,0.180,0
SEMROC Astronautics,BC-1045,Ogive,in,4.500,1.040,0,0.500,1.000,0,ogive,0,Balsa,3.550,oz,0.190,0
SEMROC Astronautics,BC-1045P,Rounded Ogive,in,4.500,1.040,0,0.500,1.000,0,ogive,0,Balsa,3.550,oz,0.190,0
SEMROC Astronautics,BC-1048,Rounded Ogive,in,4.800,1.040,0,0.500,1.000,0,ogive,0,Balsa,3.763,oz,0.190,0
SEMROC Astronautics,BC-1050,Bezier,in,5.000,1.040,0,0.500,1.000,0,elliptical,0,Balsa,3.905,oz,0.200,0
SEMROC Astronautics,BC-1051,Conical,in,5.100,1.040,0,0.500,1.000,0,cone,0,Balsa,3.976,oz,0.200,0
SEMROC Astronautics,BC-1052,Ogive,in,5.200,1.040,0,0.500,1.000,0,ogive,0,Balsa,4.047,oz,0.220,0
SEMROC Astronautics,BC-1135,Rounded Ogive,in,3.500,1.170,0,0.500,1.130,0,ogive,0,Balsa,2.840,oz,0.150,0
SEMROC Astronautics,BC-11518,Elliptical,in,3.500,1.220,0,0.800,1.140,0,elliptical,0,Balsa,3.053,oz,0.130,0
SEMROC Astronautics,BC-11524,Bezier,in,2.400,1.220,0,0.800,1.140,0,elliptical,0,Balsa,2.272,oz,0.150,0
SEMROC Astronautics,BC-11535,Bezier,in,3.500,1.220,0,0.800,1.140,0,elliptical,0,Balsa,3.053,oz,0.200,0
SEMROC Astronautics,BC-11544,Ogive,in,4.400,1.220,0,0.800,1.140,0,ogive,0,Balsa,3.692,oz,0.220,0
SEMROC Astronautics,BC-11546,Ogive,in,4.600,1.220,0,0.800,1.140,0,ogive,0,Balsa,3.834,oz,0.230,0
SEMROC Astronautics,BC-11549,Ogive,in,4.900,1.220,0,0.800,1.140,0,ogive,0,Balsa,4.047,oz,0.250,0
SEMROC Astronautics,BC-11554,Ogive,in,5.400,1.220,0,0.800,1.140,0,ogive,0,Balsa,4.402,oz,0.270,0
SEMROC Astronautics,BC-11560,Ogive,in,6.000,1.220,0,0.800,1.140,0,ogive,0,Balsa,4.828,oz,0.280,0
SEMROC Astronautics,BC-12525,Ogive,in,2.500,1.340,0,0.800,1.250,0,ogive,0,Balsa,2.343,oz,0.150,0
SEMROC Astronautics,BC-12536,Bezier,in,3.600,1.340,0,0.800,1.140,0,elliptical,0,Balsa,3.124,oz,0.210,0
SEMROC Astronautics,BC-12545,Elliptical,in,4.500,1.340,0,0.800,1.140,0,elliptical,0,Balsa,3.763,oz,0.240,0
SEMROC Astronautics,BC-12548,Ogive,in,4.800,1.340,0,0.800,1.140,0,ogive,0,Balsa,3.976,oz,0.250,0
SEMROC Astronautics,BC-12555,Ogive,in,5.500,1.340,0,0.800,1.140,0,ogive,0,Balsa,4.473,oz,0.340,0
SEMROC Astronautics,BC-12561,Ogive,in,6.100,1.340,0,0.800,1.140,0,ogive,0,Balsa,4.899,oz,0.370,0
SEMROC Astronautics,BC-1319,Elliptical,in,1.900,1.340,0,0.500,1.300,0,elliptical,0,Balsa,1.704,oz,0.180,0
SEMROC Astronautics,BC-1321,Bezier,in,2.100,1.340,0,0.500,1.300,0,ogive,0,Balsa,1.846,oz,0.190,0
SEMROC Astronautics,BC-1327,Bezier,in,2.700,1.340,0,0.500,1.300,0,ogive,0,Balsa,2.272,oz,0.210,0
SEMROC Astronautics,BC-1329,Rounded-Ogive,in,2.900,1.340,0,0.500,1.300,0,ogive,0,Balsa,2.414,oz,0.240,0
SEMROC Astronautics,BC-1330,Ogive,in,3.000,1.340,0,0.500,1.300,0,ogive,0,Balsa,2.485,oz,0.250,0
SEMROC Astronautics,BC-1331,Elliptical,in,3.100,1.340,0,0.500,1.300,0,elliptical,0,Balsa,2.556,oz,0.270,0
SEMROC Astronautics,BC-1336,Ogive,in,3.600,1.340,0,0.500,1.300,0,ogive,0,Balsa,2.911,oz,0.280,0
SEMROC Astronautics,BC-1339,Rounded-Ogive,in,3.900,1.340,0,0.500,1.300,0,ogive,0,Balsa,3.124,oz,0.300,0
SEMROC Astronautics,BC-1344,Ogive,in,4.400,1.340,0,0.500,1.300,0,ogive,0,Balsa,3.479,oz,0.320,0
SEMROC Astronautics,BC-1345,Elliptical,in,4.400,1.340,0,0.500,1.300,0,elliptical,0,Balsa,3.479,oz,0.320,0
SEMROC Astronautics,BC-1353,Secant Ogive,in,5.370,1.340,0,0.500,1.300,0,ogive,0,Balsa,4.168,oz,0.490,0
SEMROC Astronautics,BC-1353F,Ogive,in,5.300,1.340,0,0.500,1.300,0,ogive,0,Balsa,4.118,oz,0.470,0
SEMROC Astronautics,BC-1354,Ogive,in,5.400,1.340,0,0.500,1.300,0,ogive,0,Balsa,4.189,oz,0.550,0
SEMROC Astronautics,BC-1354C,Parabolic,in,5.400,1.340,0,0.500,1.300,0,parabolic,0,Balsa,4.189,oz,0.580,0
SEMROC Astronautics,BC-1364,Rounded-Ogive,in,6.400,1.340,0,0.500,1.300,0,ogive,0,Balsa,4.899,oz,0.620,0
SEMROC Astronautics,BC-15044,Conical,in,4.400,1.590,0,0.800,1.500,0,cone,0,Balsa,3.692,oz,0.250,0
SEMROC Astronautics,BC-15066,Ogive,in,6.600,1.590,0,0.800,1.500,0,ogive,0,Balsa,5.254,oz,0.350,0
SEMROC Astronautics,BC-15070,Ogive,in,7.000,1.590,0,0.800,1.500,0,ogive,0,Balsa,5.538,oz,0.390,0
SEMROC Astronautics,BC-15080,Ogive,in,8.000,1.590,0,0.800,1.500,0,ogive,0,Balsa,6.248,oz,0.450,0
SEMROC Astronautics,BC-15081,Rounded Ogive,in,8.100,1.590,0,0.800,1.500,0,elliptical,0,Balsa,6.319,oz,0.430,0
SEMROC Astronautics,BC-16100,Conical,in,10.000,1.640,0,0.500,1.600,0,cone,0,Balsa,7.455,oz,0.456,0
SEMROC Astronautics,BC-1625,Elliptical,in,2.500,1.640,0,0.500,1.600,0,elliptical,0,Balsa,2.130,oz,0.200,0
SEMROC Astronautics,BC-1625P,Bezier,in,2.500,1.640,0,0.500,1.600,0,ogive,0,Balsa,2.130,oz,0.200,0
SEMROC Astronautics,BC-1631,Ogive,in,3.100,1.640,0,0.500,1.600,0,ogive,0,Balsa,2.556,oz,0.300,0
SEMROC Astronautics,BC-1634,Rounded-Ogive,in,3.400,1.640,0,0.500,1.600,0,elliptical,0,Balsa,2.769,oz,0.310,0
SEMROC Astronautics,BC-1636,Bezier,in,3.600,1.640,0,0.500,1.600,0,ogive,0,Balsa,2.911,oz,0.350,0
SEMROC Astronautics,BC-1646,Ogive,in,4.600,1.640,0,0.500,1.600,0,ogive,0,Balsa,3.621,oz,0.390,0
SEMROC Astronautics,BC-1647,Ogive,in,4.700,1.640,0,0.500,1.600,0,ogive,0,Balsa,3.692,oz,0.400,0
SEMROC Astronautics,BC-1648,Ogive,in,4.800,1.640,0,0.500,1.600,0,ogive,0,Balsa,3.763,oz,0.410,0
SEMROC Astronautics,BC-1650,Parabolic,in,5.000,1.640,0,0.500,1.600,0,parabolic,0,Balsa,3.905,oz,0.430,0
SEMROC Astronautics,BC-1655,Ogive,in,5.500,1.640,0,0.500,1.600,0,ogive,0,Balsa,4.260,oz,0.460,0
SEMROC Astronautics,BC-1660,Ogive,in,6.000,1.640,0,0.500,1.600,0,ogive,0,Balsa,4.615,oz,0.480,0
SEMROC Astronautics,BC-1667,Parabolic,in,6.700,1.640,0,0.500,1.600,0,parabolic,0,Balsa,5.112,oz,0.510,0
SEMROC Astronautics,BC-1672,Conical-Ogive,in,7.200,1.640,0,0.500,1.600,0,ogive,0,Balsa,5.467,oz,0.580,0
SEMROC Astronautics,BC-1674,Ogive,in,7.400,1.640,0,0.500,1.600,0,ogive,0,Balsa,5.609,oz,0.620,0
SEMROC Astronautics,BC-17535,Ogive,in,3.500,1.840,0,0.800,1.750,0,ogive,0,Balsa,3.053,oz,0.480,0
